"","Generation","O","Y","B"
"1",0,0.3296,0.3378,0.3326
"2",1,0.3189,0.3405,0.3406
"3",2,0.2979,0.3495,0.3526
"4",3,0.2788,0.3597,0.3615
"5",4,0.2575,0.378,0.3645
"6",5,0.2383,0.3879,0.3738
"7",6,0.2131,0.4007,0.3862
"8",7,0.1962,0.4187,0.3851
"9",8,0.1768,0.442,0.3812
"10",9,0.1607,0.4537,0.3856
"11",10,0.1476,0.4727,0.3797
"12",11,0.1391,0.4866,0.3743
"13",12,0.1257,0.5051,0.3692
"14",13,0.1134,0.5257,0.3609
"15",14,0.1015,0.5577,0.3408
"16",15,0.0877,0.588,0.3243
"17",16,0.0812,0.6211,0.2977
"18",17,0.0735,0.6474,0.2791
"19",18,0.0677,0.6752,0.2571
"20",19,0.0667,0.6929,0.2404
"21",20,0.0626,0.7175,0.2199
"22",21,0.0621,0.7443,0.1936
"23",22,0.0617,0.7678,0.1705
"24",23,0.0638,0.7808,0.1554
"25",24,0.0653,0.7982,0.1365
"26",25,0.066,0.8114,0.1226
"27",26,0.0674,0.8259,0.1067
"28",27,0.0713,0.8376,0.0911
"29",28,0.0721,0.8506,0.0773
"30",29,0.0728,0.8616,0.0656
"31",30,0.0766,0.8655,0.0579
"32",31,0.085,0.8665,0.0485
"33",32,0.0909,0.868,0.0411
"34",33,0.0963,0.8661,0.0376
"35",34,0.1046,0.8622,0.0332
"36",35,0.1116,0.8593,0.0291
"37",36,0.1186,0.856,0.0254
"38",37,0.13,0.8471,0.0229
"39",38,0.1421,0.8367,0.0212
"40",39,0.152,0.8306,0.0174
"41",40,0.1677,0.8155,0.0168
"42",41,0.1751,0.8106,0.0143
"43",42,0.1878,0.7983,0.0139
"44",43,0.196,0.7928,0.0112
"45",44,0.2167,0.7732,0.0101
"46",45,0.2335,0.7573,0.0092
"47",46,0.2571,0.7339,0.009
"48",47,0.2758,0.7153,0.0089
"49",48,0.2935,0.698,0.0085
"50",49,0.3092,0.6801,0.0107
"51",50,0.331,0.6566,0.0124
"52",51,0.3501,0.6375,0.0124
"53",52,0.3621,0.6234,0.0145
"54",53,0.3777,0.6081,0.0142
"55",54,0.4089,0.5758,0.0153
"56",55,0.4244,0.5607,0.0149
"57",56,0.4416,0.5438,0.0146
"58",57,0.4693,0.5166,0.0141
"59",58,0.4794,0.5065,0.0141
"60",59,0.505,0.4805,0.0145
"61",60,0.5175,0.4692,0.0133
"62",61,0.538,0.4489,0.0131
"63",62,0.5642,0.4226,0.0132
"64",63,0.5743,0.4131,0.0126
"65",64,0.5849,0.4004,0.0147
"66",65,0.6025,0.3818,0.0157
"67",66,0.6223,0.3628,0.0149
"68",67,0.633,0.3531,0.0139
"69",68,0.6454,0.3389,0.0157
"70",69,0.6575,0.3267,0.0158
"71",70,0.6713,0.3101,0.0186
"72",71,0.6844,0.2975,0.0181
"73",72,0.7004,0.2813,0.0183
"74",73,0.7196,0.261,0.0194
"75",74,0.7315,0.248,0.0205
"76",75,0.7426,0.236,0.0214
"77",76,0.7516,0.2274,0.021
"78",77,0.7683,0.2104,0.0213
"79",78,0.7789,0.2001,0.021
"80",79,0.7838,0.194,0.0222
"81",80,0.7982,0.1776,0.0242
"82",81,0.8102,0.1644,0.0254
"83",82,0.8208,0.1519,0.0273
"84",83,0.8311,0.1383,0.0306
"85",84,0.8428,0.1243,0.0329
"86",85,0.847,0.1171,0.0359
"87",86,0.8504,0.1104,0.0392
"88",87,0.8531,0.107,0.0399
"89",88,0.8546,0.1038,0.0416
"90",89,0.8555,0.0991,0.0454
"91",90,0.8637,0.0876,0.0487
"92",91,0.8678,0.0833,0.0489
"93",92,0.8722,0.0771,0.0507
"94",93,0.8716,0.0732,0.0552
"95",94,0.874,0.0678,0.0582
"96",95,0.8785,0.0626,0.0589
"97",96,0.8791,0.0607,0.0602
"98",97,0.8804,0.0577,0.0619
"99",98,0.8812,0.0531,0.0657
"100",99,0.8808,0.0485,0.0707
"101",100,0.8773,0.0471,0.0756
"102",101,0.874,0.0448,0.0812
"103",102,0.8728,0.0406,0.0866
"104",103,0.8716,0.0382,0.0902
"105",104,0.8714,0.0382,0.0904
"106",105,0.8683,0.0387,0.093
"107",106,0.8658,0.0395,0.0947
"108",107,0.864,0.0387,0.0973
"109",108,0.8655,0.0372,0.0973
"110",109,0.8612,0.0353,0.1035
"111",110,0.856,0.0346,0.1094
"112",111,0.8534,0.0342,0.1124
