"geracao","O","B","Y"
0,0.1512,0.7011,0.1477
1,0.7424,0.2557,0.0019
2,0.968,0.0247,0.0073
3,0.9822,2e-04,0.0176
4,0.9684,0,0.0316
5,0.9511,0,0.0489
6,0.9307,0,0.0693
7,0.9071,0,0.0929
8,0.8811,0,0.1189
9,0.8571,0,0.1429
10,0.8315,0,0.1685
11,0.8043,0,0.1957
12,0.7755,0,0.2245
13,0.7451,0,0.2549
14,0.7131,0,0.2869
15,0.6803,0,0.3197
16,0.6479,0,0.3521
17,0.6155,0,0.3845
18,0.5823,0,0.4177
19,0.5483,0,0.4517
20,0.5135,0,0.4865
21,0.4789,0,0.5211
22,0.4451,0,0.5549
23,0.4113,0,0.5887
24,0.3775,0,0.6225
25,0.3437,0,0.6563
26,0.3099,0,0.6901
27,0.2761,0,0.7239
28,0.2423,0,0.7577
29,0.2085,0,0.7915
30,0.1747,0,0.8253
31,0.1409,0,0.8591
32,0.1113,0,0.8887
33,0.0871,0,0.9129
34,0.0645,0,0.9355
35,0.0483,0,0.9517
36,0.0399,0,0.9601
37,0.0323,0,0.9677
38,0.0255,0,0.9745
39,0.0195,0,0.9805
40,0.0143,0,0.9857
41,0.0099,0,0.9901
42,0.0063,0,0.9937
43,0.0035,0,0.9965
44,0.0015,0,0.9985
45,3e-04,0,0.9997
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
