"geracao","O","B","Y"
0,0.1498,0.708,0.1422
1,0.7285,0.2676,0.0039
2,0.9525,0.0277,0.0198
3,0.9482,0.0013,0.0505
4,0.9072,9e-04,0.0919
5,0.8542,0.0018,0.144
6,0.792,0.0039,0.2041
7,0.7211,0.0069,0.272
8,0.6473,0.0107,0.342
9,0.573,0.0153,0.4117
10,0.4972,0.0207,0.4821
11,0.4236,0.0269,0.5495
12,0.3545,0.0339,0.6116
13,0.2939,0.0417,0.6644
14,0.2398,0.0503,0.7099
15,0.1989,0.0597,0.7414
16,0.1634,0.0699,0.7667
17,0.1347,0.0809,0.7844
18,0.1123,0.0927,0.795
19,0.0933,0.1053,0.8014
20,0.0751,0.1187,0.8062
21,0.0577,0.1329,0.8094
22,0.0411,0.1479,0.811
23,0.0292,0.1637,0.8071
24,0.0224,0.1803,0.7973
25,0.0164,0.1977,0.7859
26,0.0112,0.2159,0.7729
27,0.0068,0.2349,0.7583
28,0.0033,0.2547,0.742
29,7e-04,0.2753,0.724
30,0,0.2967,0.7033
31,0,0.3189,0.6811
32,0,0.3419,0.6581
33,0,0.3657,0.6343
34,0,0.3903,0.6097
35,0,0.4157,0.5843
36,0,0.4419,0.5581
37,0,0.4689,0.5311
38,0,0.4967,0.5033
39,0,0.5253,0.4747
40,0,0.5547,0.4453
41,0,0.5849,0.4151
42,0,0.6159,0.3841
43,0,0.6477,0.3523
44,0,0.6803,0.3197
45,0,0.7137,0.2863
46,0,0.7479,0.2521
47,0,0.7829,0.2171
48,0,0.8187,0.1813
49,0,0.8553,0.1447
50,0,0.8927,0.1073
51,0,0.9309,0.0691
52,0,0.9699,0.0301
53,0,0.9998,2e-04
54,0,1,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,1,0
