"geracao","O","B","Y"
0,0.149,0.6981,0.1529
1,0.7244,0.273,0.0026
2,0.9591,0.0309,0.01
3,0.9753,0.0017,0.023
4,0.9581,0,0.0419
5,0.9345,0,0.0655
6,0.9061,0,0.0939
7,0.8741,0,0.1259
8,0.8406,0,0.1594
9,0.804,0,0.196
10,0.7642,0,0.2358
11,0.7212,0,0.2788
12,0.675,0,0.325
13,0.6256,0,0.3744
14,0.5784,0,0.4216
15,0.5288,0,0.4712
16,0.4822,0,0.5178
17,0.44,0,0.56
18,0.3974,0,0.6026
19,0.3544,0,0.6456
20,0.3106,0,0.6894
21,0.2709,0,0.7291
22,0.2327,0,0.7673
23,0.1962,0,0.8038
24,0.163,0,0.837
25,0.1314,0,0.8686
26,0.1014,0,0.8986
27,0.074,0,0.926
28,0.0488,0,0.9512
29,0.0252,0,0.9748
30,0.0151,0,0.9849
31,0.0077,0,0.9923
32,0.0026,0,0.9974
33,3e-04,0,0.9997
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
