"geracao","O","B","Y"
0,0.1542,0.7009,0.1449
1,0.7457,0.2513,0.003
2,0.9689,0.0214,0.0097
3,0.9785,5e-04,0.021
4,0.9613,7e-04,0.038
5,0.9391,0.002,0.0589
6,0.9121,0.0042,0.0837
7,0.8803,0.0072,0.1125
8,0.8452,0.011,0.1438
9,0.8103,0.0156,0.1741
10,0.7761,0.021,0.2029
11,0.7399,0.0272,0.2329
12,0.7021,0.0342,0.2637
13,0.6663,0.042,0.2917
14,0.6289,0.0506,0.3205
15,0.5916,0.06,0.3484
16,0.555,0.0702,0.3748
17,0.5176,0.0812,0.4012
18,0.4794,0.093,0.4276
19,0.4416,0.1056,0.4528
20,0.4032,0.119,0.4778
21,0.364,0.1332,0.5028
22,0.3264,0.1482,0.5254
23,0.2913,0.164,0.5447
24,0.2597,0.1806,0.5597
25,0.2286,0.198,0.5734
26,0.1976,0.2162,0.5862
27,0.1711,0.2352,0.5937
28,0.1513,0.255,0.5937
29,0.1323,0.2756,0.5921
30,0.1141,0.297,0.5889
31,0.0985,0.3192,0.5823
32,0.0837,0.3422,0.5741
33,0.0697,0.366,0.5643
34,0.0565,0.3906,0.5529
35,0.0441,0.416,0.5399
36,0.0336,0.4422,0.5242
37,0.025,0.4692,0.5058
38,0.0172,0.497,0.4858
39,0.0102,0.5256,0.4642
40,0.0048,0.555,0.4402
41,5e-04,0.5852,0.4143
42,0,0.6162,0.3838
43,0,0.648,0.352
44,0,0.6806,0.3194
45,0,0.714,0.286
46,0,0.7482,0.2518
47,0,0.7832,0.2168
48,0,0.819,0.181
49,0,0.8556,0.1444
50,0,0.893,0.107
51,0,0.9312,0.0688
52,0,0.9702,0.0298
53,0,1,0
54,0,1,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,1,0
