"geracao","O","B","Y"
0,0.1539,0.6986,0.1475
1,0.7476,0.2491,0.0033
2,0.9694,0.0174,0.0132
3,0.9633,0,0.0367
4,0.9294,0,0.0706
5,0.8868,0,0.1132
6,0.838,0,0.162
7,0.784,0,0.216
8,0.7253,0,0.2747
9,0.6616,0,0.3384
10,0.597,0,0.403
11,0.5299,0,0.4701
12,0.4603,0,0.5397
13,0.3898,0,0.6102
14,0.3225,0,0.6775
15,0.256,0,0.744
16,0.1985,0,0.8015
17,0.1464,0,0.8536
18,0.1011,0,0.8989
19,0.0689,0,0.9311
20,0.0476,0,0.9524
21,0.029,0,0.971
22,0.0191,0,0.9809
23,0.0117,0,0.9883
24,0.0059,0,0.9941
25,0.0024,0,0.9976
26,6e-04,0,0.9994
27,0,0,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
