"geracao","O","B","Y"
0,0.1474,0.7076,0.145
1,0.7351,0.2626,0.0023
2,0.964,0.0255,0.0105
3,0.975,0.001,0.024
4,0.9558,0.0012,0.043
5,0.9321,0.003,0.0649
6,0.9037,0.0056,0.0907
7,0.8705,0.009,0.1205
8,0.8325,0.0132,0.1543
9,0.7897,0.0182,0.1921
10,0.7421,0.024,0.2339
11,0.6935,0.0306,0.2759
12,0.6409,0.038,0.3211
13,0.5919,0.0462,0.3619
14,0.5406,0.0552,0.4042
15,0.487,0.065,0.448
16,0.433,0.0756,0.4914
17,0.3807,0.087,0.5323
18,0.3281,0.0992,0.5727
19,0.2772,0.1122,0.6106
20,0.2376,0.126,0.6364
21,0.2007,0.1406,0.6587
22,0.1705,0.156,0.6735
23,0.1445,0.1722,0.6833
24,0.1221,0.1892,0.6887
25,0.0997,0.207,0.6933
26,0.0773,0.2256,0.6971
27,0.0549,0.245,0.7001
28,0.0325,0.2652,0.7023
29,0.0152,0.2862,0.6986
30,0.0062,0.308,0.6858
31,8e-04,0.3306,0.6686
32,0,0.354,0.646
33,0,0.3782,0.6218
34,0,0.4032,0.5968
35,0,0.429,0.571
36,0,0.4556,0.5444
37,0,0.483,0.517
38,0,0.5112,0.4888
39,0,0.5402,0.4598
40,0,0.57,0.43
41,0,0.6006,0.3994
42,0,0.632,0.368
43,0,0.6642,0.3358
44,0,0.6972,0.3028
45,0,0.731,0.269
46,0,0.7656,0.2344
47,0,0.801,0.199
48,0,0.8372,0.1628
49,0,0.8742,0.1258
50,0,0.912,0.088
51,0,0.9506,0.0494
52,0,0.99,0.01
53,0,1,0
54,0,1,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,1,0
