"geracao","O","B","Y"
0,0.1489,0.6923,0.1588
1,0.7245,0.2731,0.0024
2,0.9685,0.0214,0.0101
3,0.9746,3e-04,0.0251
4,0.9538,0,0.0462
5,0.9272,0,0.0728
6,0.895,0,0.105
7,0.8572,0,0.1428
8,0.8148,0,0.1852
9,0.7684,0,0.2316
10,0.718,0,0.282
11,0.6662,0,0.3338
12,0.6143,0,0.3857
13,0.5611,0,0.4389
14,0.5055,0,0.4945
15,0.4525,0,0.5475
16,0.3979,0,0.6021
17,0.3443,0,0.6557
18,0.2959,0,0.7041
19,0.2514,0,0.7486
20,0.2102,0,0.7898
21,0.169,0,0.831
22,0.1337,0,0.8663
23,0.1009,0,0.8991
24,0.0763,0,0.9237
25,0.0559,0,0.9441
26,0.0385,0,0.9615
27,0.0273,0,0.9727
28,0.0177,0,0.9823
29,0.0097,0,0.9903
30,0.0034,0,0.9966
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
