"geracao","O","B","Y","sim"
100,0,1,0,1
100,0,0,1,2
100,0,1,0,3
100,0,1,0,4
100,0,0,1,5
100,0,0,1,6
100,0,1,0,7
100,0,0,1,8
100,0,0,1,9
100,0,0,1,10
100,0,0,1,11
100,0,0,1,12
100,0,1,0,13
100,0,0,1,14
100,0,0,1,15
100,0,1,0,16
100,0,0,1,17
100,0,1,0,18
100,0,0,1,19
100,0,0,1,20
100,0,0,1,21
100,0.277,0.4016,0.3214,22
100,0,1,0,23
100,0,0,1,24
100,0,0,1,25
100,0,0,1,26
100,0.3104,0.3572,0.3324,27
100,0,0,1,28
100,0,0,1,29
100,0,0,1,30
100,0,0,1,31
100,0,1,0,32
100,0,0,1,33
100,0.3187,0.3385,0.3428,34
100,0,0,1,35
100,0,0,1,36
100,0,0,1,37
100,0,1,0,38
100,0,0,1,39
100,0,0,1,40
100,0,0,1,41
100,0,0,1,42
100,0,0,1,43
100,0,0,1,44
100,0,0,1,45
100,0,0,1,46
100,0,0,1,47
100,0,0,1,48
100,0,0,1,49
100,0,1,0,50
100,0,0,1,51
100,0,0,1,52
100,0,0,1,53
100,0,0,1,54
100,0,1,0,55
100,0,1,0,56
100,0,0,1,57
100,0,0,1,58
100,0,0,1,59
100,0,1,0,60
100,0,0,1,61
100,0,0,1,62
100,0,1,0,63
100,0,0,1,64
100,0,0,1,65
100,0,0,1,66
100,0,0,1,67
100,0,0,1,68
100,0,0,1,69
100,0,0,1,70
100,0,1,0,71
100,0.4985,0.2345,0.267,72
100,0,1,0,73
100,0.312,0.3285,0.3595,74
100,0,0,1,75
100,0,0,1,76
100,0,1,0,77
100,0,0,1,78
100,0,0,1,79
100,0,1,0,80
100,0,0,1,81
100,0.3127,0.3629,0.3244,82
100,0,0,1,83
100,0,0,1,84
100,0,0,1,85
100,0,0,1,86
100,0,0,1,87
100,0,0,1,88
100,0,0,1,89
100,0,0,1,90
100,0.3261,0.337,0.3369,91
100,0,0,1,92
100,0,0,1,93
100,0,1,0,94
100,0,0,1,95
100,0,0,1,96
100,0,0,1,97
100,0,0,1,98
100,0,1,0,99
100,0,1,0,100
