"geracao","O","B","Y"
0,0.1508,0.6968,0.1524
1,0.7315,0.2653,0.0032
2,0.958,0.029,0.013
3,0.9675,0.0016,0.0309
4,0.9441,0,0.0559
5,0.9119,0,0.0881
6,0.8749,0,0.1251
7,0.835,0,0.165
8,0.792,0,0.208
9,0.7472,0,0.2528
10,0.7033,0,0.2967
11,0.6591,0,0.3409
12,0.6158,0,0.3842
13,0.5722,0,0.4278
14,0.5293,0,0.4707
15,0.4862,0,0.5138
16,0.4425,0,0.5575
17,0.3997,0,0.6003
18,0.3567,0,0.6433
19,0.3141,0,0.6859
20,0.2715,0,0.7285
21,0.2304,0,0.7696
22,0.192,0,0.808
23,0.1558,0,0.8442
24,0.1196,0,0.8804
25,0.0834,0,0.9166
26,0.0557,0,0.9443
27,0.0371,0,0.9629
28,0.0223,0,0.9777
29,0.009,0,0.991
30,0.0039,0,0.9961
31,0.0012,0,0.9988
32,2e-04,0,0.9998
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
