"geracao","O","B","Y"
0,0.1547,0.691,0.1543
1,0.7337,0.263,0.0033
2,0.9643,0.0222,0.0135
3,0.9673,2e-04,0.0325
4,0.9411,0,0.0589
5,0.9079,0,0.0921
6,0.8678,0,0.1322
7,0.8223,0,0.1777
8,0.7713,0,0.2287
9,0.7163,0,0.2837
10,0.6582,0,0.3418
11,0.5954,0,0.4046
12,0.5331,0,0.4669
13,0.4731,0,0.5269
14,0.4137,0,0.5863
15,0.3568,0,0.6432
16,0.305,0,0.695
17,0.2532,0,0.7468
18,0.2024,0,0.7976
19,0.1559,0,0.8441
20,0.1197,0,0.8803
21,0.0936,0,0.9064
22,0.07,0,0.93
23,0.05,0,0.95
24,0.0333,0,0.9667
25,0.0203,0,0.9797
26,0.0113,0,0.9887
27,0.0064,0,0.9936
28,0.0028,0,0.9972
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
