"geracao","O","B","Y"
0,0.1434,0.7007,0.1559
1,0.7055,0.2915,0.003
2,0.9591,0.0281,0.0128
3,0.966,7e-04,0.0333
4,0.9382,0,0.0618
5,0.9034,0,0.0966
6,0.863,0,0.137
7,0.8186,0,0.1814
8,0.769,0,0.231
9,0.714,0,0.286
10,0.6536,0,0.3464
11,0.5932,0,0.4068
12,0.5306,0,0.4694
13,0.4662,0,0.5338
14,0.4077,0,0.5923
15,0.3538,0,0.6462
16,0.3023,0,0.6977
17,0.2521,0,0.7479
18,0.2041,0,0.7959
19,0.1617,0,0.8383
20,0.1255,0,0.8745
21,0.0932,0,0.9068
22,0.0656,0,0.9344
23,0.0412,0,0.9588
24,0.0223,0,0.9777
25,0.0115,0,0.9885
26,0.0045,0,0.9955
27,0.0013,0,0.9987
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
