"geracao","O","B","Y"
0,0.1559,0.6936,0.1505
1,0.7339,0.2625,0.0036
2,0.9597,0.0252,0.0151
3,0.9597,0.0011,0.0392
4,0.9261,0.0012,0.0727
5,0.8824,0.0026,0.115
6,0.831,0.0045,0.1645
7,0.7752,0.0079,0.2169
8,0.7187,0.0121,0.2692
9,0.6617,0.0171,0.3212
10,0.6023,0.0229,0.3748
11,0.5433,0.0295,0.4272
12,0.4845,0.0369,0.4786
13,0.4241,0.0451,0.5308
14,0.3705,0.0541,0.5754
15,0.318,0.0639,0.6181
16,0.2686,0.0745,0.6569
17,0.2238,0.0859,0.6903
18,0.1912,0.0981,0.7107
19,0.1611,0.1111,0.7278
20,0.1356,0.1249,0.7395
21,0.113,0.1395,0.7475
22,0.0948,0.1549,0.7503
23,0.0778,0.1711,0.7511
24,0.0616,0.1881,0.7503
25,0.0462,0.2059,0.7479
26,0.033,0.2245,0.7425
27,0.0214,0.2439,0.7347
28,0.013,0.2641,0.7229
29,0.0054,0.2851,0.7095
30,0.0028,0.3069,0.6903
31,0.001,0.3295,0.6695
32,0,0.3529,0.6471
33,0,0.3771,0.6229
34,0,0.4021,0.5979
35,0,0.4279,0.5721
36,0,0.4545,0.5455
37,0,0.4819,0.5181
38,0,0.5101,0.4899
39,0,0.5391,0.4609
40,0,0.5689,0.4311
41,0,0.5995,0.4005
42,0,0.6309,0.3691
43,0,0.6631,0.3369
44,0,0.6961,0.3039
45,0,0.7299,0.2701
46,0,0.7645,0.2355
47,0,0.7999,0.2001
48,0,0.8361,0.1639
49,0,0.8731,0.1269
50,0,0.9109,0.0891
51,0,0.9495,0.0505
52,0,0.9889,0.0111
53,0,0.9998,2e-04
54,0,1,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,1,0
