"geracao","O","B","Y"
0,0.1455,0.7032,0.1513
1,0.7129,0.2852,0.0019
2,0.9659,0.0269,0.0072
3,0.9792,1e-04,0.0207
4,0.9595,0,0.0405
5,0.9333,0,0.0667
6,0.9007,0,0.0993
7,0.8617,0,0.1383
8,0.8203,0,0.1797
9,0.7743,0,0.2257
10,0.7235,0,0.2765
11,0.6679,0,0.3321
12,0.6075,0,0.3925
13,0.5447,0,0.4553
14,0.4812,0,0.5188
15,0.422,0,0.578
16,0.3652,0,0.6348
17,0.3116,0,0.6884
18,0.2644,0,0.7356
19,0.2202,0,0.7798
20,0.1798,0,0.8202
21,0.1416,0,0.8584
22,0.112,0,0.888
23,0.09,0,0.91
24,0.0704,0,0.9296
25,0.0539,0,0.9461
26,0.0399,0,0.9601
27,0.028,0,0.972
28,0.0192,0,0.9808
29,0.0126,0,0.9874
30,0.0076,0,0.9924
31,0.0034,0,0.9966
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
