"","Generation","strategy","prob","freq_media","freq_sd","raio","divided"
"84",27,"Y",0,0.18993,0.0340720345056402,"basico",FALSE
"85",28,"B",0,0.049169,0.00855078347169416,"basico",FALSE
"86",28,"O",0,0.784154,0.0327050683991014,"basico",FALSE
"87",28,"Y",0,0.166677,0.0323774046881994,"basico",FALSE
"88",29,"B",0,0.053028,0.0087020499152368,"basico",FALSE
"89",29,"O",0,0.801846,0.0305109234289107,"basico",FALSE
"90",29,"Y",0,0.145126,0.030026455069495,"basico",FALSE
"91",30,"B",0,0.057079,0.00927403560288812,"basico",FALSE
"92",30,"O",0,0.816093,0.0288982794741427,"basico",FALSE
"93",30,"Y",0,0.126828,0.0281486963653862,"basico",FALSE
"94",31,"B",0,0.061456,0.0100656463460444,"basico",FALSE
"95",31,"O",0,0.827879,0.0270057954685451,"basico",FALSE
"96",31,"Y",0,0.110665,0.0258856044975199,"basico",FALSE
"97",32,"B",0,0.065984,0.0105992159039137,"basico",FALSE
"98",32,"O",0,0.836855,0.0249872548320219,"basico",FALSE
"99",32,"Y",0,0.097161,0.0233552143940907,"basico",FALSE
"100",33,"B",0,0.070952,0.0113824735022886,"basico",FALSE
"101",33,"O",0,0.843464,0.0233887200646514,"basico",FALSE
"102",33,"Y",0,0.085584,0.021784605443832,"basico",FALSE
"103",34,"B",0,0.07593,0.0118953814991408,"basico",FALSE
"104",34,"O",0,0.847852,0.0222012670491091,"basico",FALSE
"105",34,"Y",0,0.076218,0.0197475909795334,"basico",FALSE
"106",35,"B",0,0.08082,0.0123840317515841,"basico",FALSE
"107",35,"O",0,0.850269,0.0212848392718452,"basico",FALSE
"108",35,"Y",0,0.068911,0.0183090742805337,"basico",FALSE
"109",36,"B",0,0.085905,0.0131322671079269,"basico",FALSE
"110",36,"O",0,0.851087,0.0210290883436647,"basico",FALSE
"111",36,"Y",0,0.063008,0.0174553553473721,"basico",FALSE
"112",37,"B",0,0.09115,0.0136899838044337,"basico",FALSE
"113",37,"O",0,0.850654,0.0208337450625982,"basico",FALSE
"114",37,"Y",0,0.058196,0.0167699341355025,"basico",FALSE
"115",38,"B",0,0.096492,0.0143058417113677,"basico",FALSE
"116",38,"O",0,0.849029,0.0210098163444682,"basico",FALSE
"117",38,"Y",0,0.054479,0.0161663904693683,"basico",FALSE
"118",39,"B",0,0.101957,0.0149930573495491,"basico",FALSE
"119",39,"O",0,0.846585,0.0209354630020717,"basico",FALSE
"120",39,"Y",0,0.051458,0.0153693199576167,"basico",FALSE
"121",40,"B",0,0.107328,0.0155623547334099,"basico",FALSE
"122",40,"O",0,0.843621,0.0209631533164669,"basico",FALSE
"123",40,"Y",0,0.049051,0.0149054426707871,"basico",FALSE
"124",41,"B",0,0.112722,0.0161286718785415,"basico",FALSE
"125",41,"O",0,0.840013,0.0213857719859336,"basico",FALSE
"126",41,"Y",0,0.047265,0.0148659761695876,"basico",FALSE
"127",42,"B",0,0.118402,0.0170212284568952,"basico",FALSE
"128",42,"O",0,0.835544,0.0216726347025343,"basico",FALSE
"129",42,"Y",0,0.046054,0.0148795393379328,"basico",FALSE
"130",43,"B",0,0.12402,0.017724633318143,"basico",FALSE
