"geracao","O","B","Y"
0,0.1002,0.7994,0.1004
1,0.6104,0.389,6e-04
2,0.9296,0.0692,0.0012
3,0.9933,0.0037,0.003
4,0.9942,0,0.0058
5,0.9906,0,0.0094
6,0.9862,0,0.0138
7,0.981,0,0.019
8,0.975,0,0.025
9,0.9682,0,0.0318
10,0.9606,0,0.0394
11,0.9522,0,0.0478
12,0.943,0,0.057
13,0.933,0,0.067
14,0.9222,0,0.0778
15,0.9106,0,0.0894
16,0.8982,0,0.1018
17,0.885,0,0.115
18,0.871,0,0.129
19,0.8562,0,0.1438
20,0.8406,0,0.1594
21,0.8242,0,0.1758
22,0.807,0,0.193
23,0.789,0,0.211
24,0.7702,0,0.2298
25,0.7506,0,0.2494
26,0.7302,0,0.2698
27,0.709,0,0.291
28,0.687,0,0.313
29,0.6642,0,0.3358
30,0.6406,0,0.3594
31,0.6162,0,0.3838
32,0.591,0,0.409
33,0.565,0,0.435
34,0.5382,0,0.4618
35,0.5106,0,0.4894
36,0.4822,0,0.5178
37,0.453,0,0.547
38,0.423,0,0.577
39,0.3922,0,0.6078
40,0.3606,0,0.6394
41,0.3282,0,0.6718
42,0.295,0,0.705
43,0.261,0,0.739
44,0.2262,0,0.7738
45,0.1906,0,0.8094
46,0.1542,0,0.8458
47,0.117,0,0.883
48,0.079,0,0.921
49,0.0402,0,0.9598
50,0.0103,0,0.9897
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
