"geracao","O","B","Y"
0,0.1013,0.7981,0.1006
1,0.6149,0.3846,5e-04
2,0.9293,0.0673,0.0034
3,0.987,0.0052,0.0078
4,0.9862,0,0.0138
5,0.9786,0,0.0214
6,0.9694,0,0.0306
7,0.9587,0,0.0413
8,0.9475,0,0.0525
9,0.9355,0,0.0645
10,0.9227,0,0.0773
11,0.9091,0,0.0909
12,0.8947,0,0.1053
13,0.8795,0,0.1205
14,0.8635,0,0.1365
15,0.8467,0,0.1533
16,0.8291,0,0.1709
17,0.8107,0,0.1893
18,0.7915,0,0.2085
19,0.7715,0,0.2285
20,0.7507,0,0.2493
21,0.7291,0,0.2709
22,0.7067,0,0.2933
23,0.6835,0,0.3165
24,0.6595,0,0.3405
25,0.6347,0,0.3653
26,0.6091,0,0.3909
27,0.5827,0,0.4173
28,0.5555,0,0.4445
29,0.5275,0,0.4725
30,0.4987,0,0.5013
31,0.4691,0,0.5309
32,0.4387,0,0.5613
33,0.4075,0,0.5925
34,0.3755,0,0.6245
35,0.3427,0,0.6573
36,0.3091,0,0.6909
37,0.2747,0,0.7253
38,0.2395,0,0.7605
39,0.2035,0,0.7965
40,0.1667,0,0.8333
41,0.1291,0,0.8709
42,0.0907,0,0.9093
43,0.0515,0,0.9485
44,0.0267,0,0.9733
45,0.018,0,0.982
46,0.0112,0,0.9888
47,0.006,0,0.994
48,0.0024,0,0.9976
49,4e-04,0,0.9996
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
