"geracao","O","B","Y"
0,0.0969,0.8058,0.0973
1,0.5893,0.4104,3e-04
2,0.9213,0.0775,0.0012
3,0.991,0.006,0.003
4,0.9942,2e-04,0.0056
5,0.991,0,0.009
6,0.9868,0,0.0132
7,0.9818,0,0.0182
8,0.976,0,0.024
9,0.9694,0,0.0306
10,0.962,0,0.038
11,0.9538,0,0.0462
12,0.9448,0,0.0552
13,0.935,0,0.065
14,0.9244,0,0.0756
15,0.913,0,0.087
16,0.9008,0,0.0992
17,0.8878,0,0.1122
18,0.874,0,0.126
19,0.8594,0,0.1406
20,0.844,0,0.156
21,0.8278,0,0.1722
22,0.8108,0,0.1892
23,0.793,0,0.207
24,0.7744,0,0.2256
25,0.755,0,0.245
26,0.7348,0,0.2652
27,0.7138,0,0.2862
28,0.692,0,0.308
29,0.6694,0,0.3306
30,0.646,0,0.354
31,0.6218,0,0.3782
32,0.5968,0,0.4032
33,0.571,0,0.429
34,0.5444,0,0.4556
35,0.517,0,0.483
36,0.4888,0,0.5112
37,0.4598,0,0.5402
38,0.43,0,0.57
39,0.3994,0,0.6006
40,0.368,0,0.632
41,0.3358,0,0.6642
42,0.3028,0,0.6972
43,0.269,0,0.731
44,0.2344,0,0.7656
45,0.199,0,0.801
46,0.1628,0,0.8372
47,0.1258,0,0.8742
48,0.088,0,0.912
49,0.0494,0,0.9506
50,0.01,0,0.99
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
