"geracao","O","B","Y"
0,0.1038,0.7928,0.1034
1,0.6209,0.3789,2e-04
2,0.936,0.0628,0.0012
3,0.9927,0.003,0.0043
4,0.9911,0,0.0089
5,0.9849,0,0.0151
6,0.9771,0,0.0229
7,0.9677,0,0.0323
8,0.9567,0,0.0433
9,0.9441,0,0.0559
10,0.9299,0,0.0701
11,0.9141,0,0.0859
12,0.8979,0,0.1021
13,0.8809,0,0.1191
14,0.8631,0,0.1369
15,0.8445,0,0.1555
16,0.8251,0,0.1749
17,0.8049,0,0.1951
18,0.7839,0,0.2161
19,0.7621,0,0.2379
20,0.7395,0,0.2605
21,0.7161,0,0.2839
22,0.6919,0,0.3081
23,0.6669,0,0.3331
24,0.6411,0,0.3589
25,0.6145,0,0.3855
26,0.5871,0,0.4129
27,0.5589,0,0.4411
28,0.5299,0,0.4701
29,0.5001,0,0.4999
30,0.4695,0,0.5305
31,0.4381,0,0.5619
32,0.4059,0,0.5941
33,0.3729,0,0.6271
34,0.3391,0,0.6609
35,0.3045,0,0.6955
36,0.2691,0,0.7309
37,0.2329,0,0.7671
38,0.1959,0,0.8041
39,0.1581,0,0.8419
40,0.1195,0,0.8805
41,0.0865,0,0.9135
42,0.0597,0,0.9403
43,0.0465,0,0.9535
44,0.0351,0,0.9649
45,0.0253,0,0.9747
46,0.0171,0,0.9829
47,0.0105,0,0.9895
48,0.0055,0,0.9945
49,0.0021,0,0.9979
50,3e-04,0,0.9997
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
