"","Generation","O","Y","B"
"1",0,0.3345,0.3268,0.3387
"2",1,0.3233,0.3282,0.3485
"3",2,0.3084,0.3435,0.3481
"4",3,0.2871,0.3603,0.3526
"5",4,0.2712,0.3711,0.3577
"6",5,0.2574,0.3934,0.3492
"7",6,0.2438,0.4028,0.3534
"8",7,0.2259,0.4219,0.3522
"9",8,0.2056,0.4449,0.3495
"10",9,0.1811,0.4708,0.3481
"11",10,0.1667,0.4958,0.3375
"12",11,0.1567,0.514,0.3293
"13",12,0.1407,0.5437,0.3156
"14",13,0.1319,0.5617,0.3064
"15",14,0.1191,0.5771,0.3038
"16",15,0.1069,0.6028,0.2903
"17",16,0.0988,0.6292,0.272
"18",17,0.0896,0.6593,0.2511
"19",18,0.0833,0.6877,0.229
"20",19,0.0812,0.7037,0.2151
"21",20,0.0759,0.7224,0.2017
"22",21,0.0759,0.7369,0.1872
"23",22,0.0758,0.7503,0.1739
"24",23,0.071,0.7691,0.1599
"25",24,0.0685,0.7867,0.1448
"26",25,0.0667,0.8019,0.1314
"27",26,0.0706,0.8079,0.1215
"28",27,0.0703,0.8223,0.1074
"29",28,0.0667,0.8292,0.1041
"30",29,0.0666,0.841,0.0924
"31",30,0.0683,0.8473,0.0844
"32",31,0.0705,0.8537,0.0758
"33",32,0.0691,0.8616,0.0693
"34",33,0.072,0.863,0.065
"35",34,0.0756,0.8655,0.0589
"36",35,0.0853,0.8624,0.0523
"37",36,0.0905,0.8609,0.0486
"38",37,0.098,0.8556,0.0464
"39",38,0.1084,0.8505,0.0411
"40",39,0.1148,0.8473,0.0379
"41",40,0.1197,0.8462,0.0341
"42",41,0.1305,0.8386,0.0309
"43",42,0.1458,0.8257,0.0285
"44",43,0.1589,0.8144,0.0267
"45",44,0.1729,0.7999,0.0272
"46",45,0.182,0.7931,0.0249
"47",46,0.1964,0.7805,0.0231
"48",47,0.2116,0.77,0.0184
"49",48,0.2328,0.7511,0.0161
"50",49,0.2552,0.7309,0.0139
"51",50,0.2807,0.7085,0.0108
"52",51,0.2945,0.6937,0.0118
"53",52,0.3167,0.6725,0.0108
"54",53,0.3432,0.646,0.0108
"55",54,0.3672,0.6229,0.0099
"56",55,0.387,0.6031,0.0099
"57",56,0.4193,0.5699,0.0108
"58",57,0.4387,0.5504,0.0109
"59",58,0.464,0.5251,0.0109
"60",59,0.4796,0.5083,0.0121
"61",60,0.4974,0.4892,0.0134
"62",61,0.5251,0.4597,0.0152
"63",62,0.5342,0.4504,0.0154
"64",63,0.5534,0.4304,0.0162
"65",64,0.5729,0.4106,0.0165
"66",65,0.584,0.3989,0.0171
"67",66,0.6018,0.3802,0.018
"68",67,0.6168,0.3644,0.0188
"69",68,0.6436,0.339,0.0174
"70",69,0.6605,0.3207,0.0188
"71",70,0.6736,0.3073,0.0191
"72",71,0.6968,0.283,0.0202
"73",72,0.7098,0.2683,0.0219
"74",73,0.7212,0.2536,0.0252
"75",74,0.7303,0.243,0.0267
"76",75,0.7358,0.2329,0.0313
"77",76,0.7419,0.2251,0.033
"78",77,0.746,0.2229,0.0311
"79",78,0.7559,0.213,0.0311
"80",79,0.7567,0.2103,0.033
"81",80,0.7681,0.1997,0.0322
"82",81,0.78,0.1863,0.0337
"83",82,0.7896,0.174,0.0364
"84",83,0.7951,0.1676,0.0373
"85",84,0.8078,0.1534,0.0388
"86",85,0.817,0.1425,0.0405
"87",86,0.8249,0.1332,0.0419
"88",87,0.8304,0.1274,0.0422
"89",88,0.8358,0.1177,0.0465
"90",89,0.8371,0.11,0.0529
"91",90,0.8432,0.1023,0.0545
"92",91,0.8418,0.103,0.0552
"93",92,0.8421,0.1028,0.0551
"94",93,0.844,0.0987,0.0573
"95",94,0.8501,0.091,0.0589
"96",95,0.8496,0.0895,0.0609
"97",96,0.8506,0.0872,0.0622
"98",97,0.8486,0.0847,0.0667
"99",98,0.843,0.0884,0.0686
"100",99,0.8388,0.0839,0.0773
"101",100,0.8415,0.0785,0.08
"102",101,0.8434,0.0771,0.0795
"103",102,0.8448,0.0763,0.0789
"104",103,0.8388,0.0749,0.0863
"105",104,0.8383,0.0726,0.0891
"106",105,0.8353,0.075,0.0897
"107",106,0.8322,0.0722,0.0956
"108",107,0.8273,0.0736,0.0991
"109",108,0.8206,0.073,0.1064
"110",109,0.8177,0.0731,0.1092
"111",110,0.8169,0.0742,0.1089
"112",111,0.813,0.074,0.113
"113",112,0.807,0.0778,0.1152
"114",113,0.8067,0.0758,0.1175
"115",114,0.8035,0.0781,0.1184
"116",115,0.7941,0.0863,0.1196
"117",116,0.7883,0.089,0.1227
"118",117,0.7843,0.0896,0.1261
"119",118,0.7808,0.0953,0.1239
"120",119,0.7782,0.0952,0.1266
"121",120,0.7711,0.0951,0.1338
"122",121,0.7684,0.0968,0.1348
"123",122,0.7622,0.0969,0.1409
"124",123,0.7599,0.1018,0.1383
"125",124,0.7538,0.108,0.1382
"126",125,0.7416,0.1105,0.1479
"127",126,0.7389,0.1109,0.1502
"128",127,0.7377,0.1098,0.1525
"129",128,0.7362,0.1103,0.1535
"130",129,0.734,0.1083,0.1577
"131",130,0.7282,0.1131,0.1587
"132",131,0.7251,0.1139,0.161
"133",132,0.7228,0.1157,0.1615
"134",133,0.7155,0.1126,0.1719
"135",134,0.7103,0.1139,0.1758
"136",135,0.7074,0.1149,0.1777
"137",136,0.6995,0.1131,0.1874
"138",137,0.6876,0.1145,0.1979
"139",138,0.6846,0.1153,0.2001
"140",139,0.678,0.1168,0.2052
"141",140,0.6719,0.1176,0.2105
"142",141,0.6622,0.1205,0.2173
"143",142,0.655,0.1246,0.2204
"144",143,0.6507,0.1271,0.2222
"145",144,0.6445,0.1308,0.2247
"146",145,0.6429,0.1331,0.224
"147",146,0.6364,0.1348,0.2288
"148",147,0.6271,0.1398,0.2331
"149",148,0.6234,0.1414,0.2352
"150",149,0.6151,0.1426,0.2423
"151",150,0.6099,0.1418,0.2483
"152",151,0.6034,0.1429,0.2537
"153",152,0.59,0.1466,0.2634
"154",153,0.5833,0.1472,0.2695
"155",154,0.5807,0.1512,0.2681
"156",155,0.577,0.1562,0.2668
"157",156,0.5757,0.1631,0.2612
"158",157,0.5715,0.1679,0.2606
"159",158,0.5666,0.1706,0.2628
"160",159,0.5587,0.1774,0.2639
"161",160,0.5529,0.18,0.2671
"162",161,0.5474,0.1815,0.2711
"163",162,0.5417,0.1848,0.2735
"164",163,0.5357,0.1884,0.2759
"165",164,0.5279,0.1905,0.2816
"166",165,0.5219,0.1982,0.2799
"167",166,0.5139,0.2045,0.2816
"168",167,0.5054,0.2113,0.2833
"169",168,0.4994,0.214,0.2866
"170",169,0.4902,0.2174,0.2924
"171",170,0.4825,0.2228,0.2947
"172",171,0.4815,0.2288,0.2897
"173",172,0.4732,0.2361,0.2907
"174",173,0.4664,0.2386,0.295
"175",174,0.4534,0.2419,0.3047
"176",175,0.4471,0.2438,0.3091
"177",176,0.4358,0.2508,0.3134
"178",177,0.4259,0.254,0.3201
"179",178,0.4217,0.2559,0.3224
"180",179,0.4118,0.2589,0.3293
"181",180,0.4128,0.2602,0.327
"182",181,0.4093,0.2612,0.3295
"183",182,0.4029,0.2622,0.3349
"184",183,0.3954,0.2686,0.336
"185",184,0.39,0.2719,0.3381
"186",185,0.3798,0.2718,0.3484
"187",186,0.3739,0.2735,0.3526
"188",187,0.3662,0.2794,0.3544
"189",188,0.3569,0.2817,0.3614
"190",189,0.3449,0.2848,0.3703
"191",190,0.3312,0.2939,0.3749
"192",191,0.3221,0.2988,0.3791
"193",192,0.3113,0.3112,0.3775
"194",193,0.302,0.3184,0.3796
"195",194,0.2992,0.3245,0.3763
"196",195,0.2902,0.3294,0.3804
"197",196,0.278,0.3398,0.3822
"198",197,0.2664,0.351,0.3826
"199",198,0.263,0.3609,0.3761
"200",199,0.2528,0.3701,0.3771
"201",200,0.2423,0.3789,0.3788
