"geracao","O","B","Y"
0,0.2514,0.4995,0.2491
1,0.6581,0.2676,0.0743
2,0.774,0.0552,0.1708
3,0.6316,0.0274,0.341
4,0.4373,0.0479,0.5148
5,0.2669,0.0925,0.6406
6,0.1581,0.1554,0.6865
7,0.1124,0.2186,0.669
8,0.1072,0.2821,0.6107
9,0.1284,0.3391,0.5325
10,0.1678,0.374,0.4582
11,0.2155,0.3913,0.3932
12,0.2643,0.4006,0.3351
13,0.3105,0.4042,0.2853
14,0.353,0.4025,0.2445
15,0.3903,0.3983,0.2114
16,0.427,0.386,0.187
17,0.4615,0.3669,0.1716
18,0.486,0.3455,0.1685
19,0.4989,0.33,0.1711
20,0.5035,0.3158,0.1807
21,0.4951,0.3083,0.1966
22,0.4833,0.308,0.2087
23,0.4653,0.3111,0.2236
24,0.4431,0.3218,0.2351
25,0.4198,0.3344,0.2458
26,0.3974,0.3478,0.2548
27,0.3762,0.3608,0.263
28,0.3504,0.3801,0.2695
29,0.3259,0.4025,0.2716
30,0.3112,0.4236,0.2652
31,0.3007,0.4395,0.2598
32,0.2942,0.4464,0.2594
33,0.2917,0.4426,0.2657
34,0.2969,0.4339,0.2692
35,0.2956,0.4283,0.2761
36,0.2914,0.4199,0.2887
37,0.2826,0.4147,0.3027
38,0.286,0.409,0.305
39,0.2901,0.405,0.3049
40,0.2959,0.4013,0.3028
41,0.3083,0.3864,0.3053
42,0.3222,0.3695,0.3083
43,0.3287,0.3558,0.3155
44,0.3287,0.3471,0.3242
45,0.3209,0.3469,0.3322
46,0.3214,0.3459,0.3327
47,0.3193,0.3528,0.3279
48,0.3225,0.3577,0.3198
49,0.3234,0.3536,0.323
50,0.3294,0.3464,0.3242
51,0.3283,0.3402,0.3315
52,0.3233,0.3423,0.3344
53,0.3156,0.3462,0.3382
54,0.3111,0.3561,0.3328
55,0.3177,0.3595,0.3228
56,0.3267,0.3596,0.3137
57,0.3327,0.3553,0.312
58,0.3337,0.348,0.3183
59,0.3309,0.3392,0.3299
60,0.3274,0.3392,0.3334
61,0.3172,0.3482,0.3346
62,0.3103,0.3554,0.3343
63,0.3098,0.359,0.3312
64,0.3158,0.3618,0.3224
65,0.3214,0.3573,0.3213
66,0.3256,0.348,0.3264
67,0.3323,0.3385,0.3292
68,0.3307,0.3375,0.3318
69,0.3229,0.3411,0.336
70,0.3154,0.3463,0.3383
71,0.3097,0.3548,0.3355
72,0.3117,0.3609,0.3274
73,0.3169,0.3646,0.3185
74,0.3252,0.3609,0.3139
75,0.331,0.3517,0.3173
76,0.3311,0.3423,0.3266
77,0.3255,0.3392,0.3353
78,0.3133,0.3423,0.3444
79,0.304,0.3499,0.3461
80,0.3065,0.3562,0.3373
81,0.3138,0.3637,0.3225
82,0.3198,0.3626,0.3176
83,0.3299,0.3527,0.3174
84,0.3376,0.3391,0.3233
85,0.3344,0.3391,0.3265
86,0.3258,0.342,0.3322
87,0.3136,0.3484,0.338
88,0.3127,0.3522,0.3351
89,0.315,0.3594,0.3256
90,0.3198,0.3608,0.3194
91,0.3211,0.3574,0.3215
92,0.3264,0.3509,0.3227
93,0.3286,0.344,0.3274
94,0.3257,0.3434,0.3309
95,0.321,0.3421,0.3369
96,0.3163,0.3464,0.3373
97,0.3168,0.35,0.3332
98,0.3174,0.3545,0.3281
99,0.321,0.3571,0.3219
100,0.3227,0.3541,0.3232
