"geracao","O","B","Y"
0,0.2492,0.4974,0.2534
1,0.6516,0.2816,0.0668
2,0.7738,0.0632,0.163
3,0.6512,0.026,0.3228
4,0.4736,0.0409,0.4855
5,0.307,0.0727,0.6203
6,0.178,0.1193,0.7027
7,0.0948,0.1731,0.7321
8,0.0568,0.2335,0.7097
9,0.0592,0.2941,0.6467
10,0.0808,0.3491,0.5701
11,0.1086,0.3927,0.4987
12,0.1378,0.4238,0.4384
13,0.1649,0.4455,0.3896
14,0.1895,0.4579,0.3526
15,0.2146,0.4611,0.3243
16,0.2376,0.458,0.3044
17,0.2618,0.45,0.2882
18,0.2856,0.4352,0.2792
19,0.3083,0.4123,0.2794
20,0.3316,0.3814,0.287
21,0.3518,0.3443,0.3039
22,0.3641,0.3131,0.3228
23,0.3766,0.2807,0.3427
24,0.3858,0.255,0.3592
25,0.3938,0.2311,0.3751
26,0.3945,0.2165,0.389
27,0.3922,0.2064,0.4014
28,0.3909,0.1984,0.4107
29,0.384,0.1941,0.4219
30,0.3716,0.1926,0.4358
31,0.3592,0.1921,0.4487
32,0.3423,0.1989,0.4588
33,0.3217,0.2115,0.4668
34,0.3011,0.2251,0.4738
35,0.2821,0.2368,0.4811
36,0.2733,0.2474,0.4793
37,0.2677,0.2507,0.4816
38,0.2689,0.2554,0.4757
39,0.2734,0.2544,0.4722
40,0.2736,0.2611,0.4653
41,0.2757,0.2687,0.4556
42,0.2714,0.2831,0.4455
43,0.2764,0.2958,0.4278
44,0.2829,0.3034,0.4137
45,0.2959,0.3031,0.401
46,0.3082,0.3005,0.3913
47,0.3079,0.3067,0.3854
48,0.3059,0.3056,0.3885
49,0.3029,0.3059,0.3912
50,0.3087,0.3092,0.3821
51,0.3072,0.3215,0.3713
52,0.3071,0.3334,0.3595
53,0.31,0.3285,0.3615
54,0.3219,0.322,0.3561
55,0.3334,0.3168,0.3498
56,0.3285,0.325,0.3465
57,0.322,0.3258,0.3522
58,0.3168,0.3257,0.3575
59,0.325,0.3286,0.3464
60,0.3258,0.3405,0.3337
61,0.3257,0.352,0.3223
62,0.3286,0.3464,0.325
63,0.3405,0.3337,0.3258
64,0.352,0.3223,0.3257
65,0.3464,0.325,0.3286
66,0.3337,0.3258,0.3405
67,0.3223,0.3257,0.352
68,0.325,0.3286,0.3464
69,0.3258,0.3405,0.3337
70,0.3257,0.352,0.3223
71,0.3286,0.3464,0.325
72,0.3405,0.3337,0.3258
73,0.352,0.3223,0.3257
74,0.3464,0.325,0.3286
75,0.3337,0.3258,0.3405
76,0.3223,0.3257,0.352
77,0.325,0.3286,0.3464
78,0.3258,0.3405,0.3337
79,0.3257,0.352,0.3223
80,0.3286,0.3464,0.325
81,0.3405,0.3337,0.3258
82,0.352,0.3223,0.3257
83,0.3464,0.325,0.3286
84,0.3337,0.3258,0.3405
85,0.3223,0.3257,0.352
86,0.325,0.3286,0.3464
87,0.3258,0.3405,0.3337
88,0.3257,0.352,0.3223
89,0.3286,0.3464,0.325
90,0.3405,0.3337,0.3258
91,0.352,0.3223,0.3257
92,0.3464,0.325,0.3286
93,0.3337,0.3258,0.3405
94,0.3223,0.3257,0.352
95,0.325,0.3286,0.3464
96,0.3258,0.3405,0.3337
97,0.3257,0.352,0.3223
98,0.3286,0.3464,0.325
99,0.3405,0.3337,0.3258
100,0.352,0.3223,0.3257
