"geracao","O","B","Y","sim"
100,0,1,0,1
100,0.3473,0.3349,0.3178,2
100,0.3285,0.3455,0.326,3
100,0.3538,0.3112,0.335,4
100,0.3227,0.3504,0.3269,5
100,0.3496,0.3271,0.3233,6
100,0.3618,0.3277,0.3105,7
100,0.3385,0.3488,0.3127,8
100,0.3065,0.3376,0.3559,9
100,0.3282,0.3299,0.3419,10
100,0.3396,0.3149,0.3455,11
100,0.3419,0.3285,0.3296,12
100,0.3279,0.3363,0.3358,13
100,0.3499,0.2951,0.355,14
100,0.3337,0.3313,0.335,15
100,0.3285,0.3356,0.3359,16
100,0.3276,0.3371,0.3353,17
100,0.3535,0.3335,0.313,18
100,0.3165,0.3463,0.3372,19
100,0.3265,0.3318,0.3417,20
100,0.3323,0.3448,0.3229,21
100,0.3415,0.341,0.3175,22
100,0.3281,0.326,0.3459,23
100,0.348,0.3357,0.3163,24
100,0.3327,0.3375,0.3298,25
100,0.3326,0.3372,0.3302,26
100,0.3269,0.3435,0.3296,27
100,0.3446,0.3349,0.3205,28
100,0.3437,0.3179,0.3384,29
100,0.3484,0.316,0.3356,30
100,0.3587,0.3375,0.3038,31
100,0.3239,0.3361,0.34,32
100,0.3167,0.3439,0.3394,33
100,0.3417,0.3174,0.3409,34
100,0.3449,0.3247,0.3304,35
100,0.352,0.3223,0.3257,36
100,0.3041,0.3818,0.3141,37
100,0.3257,0.3464,0.3279,38
100,0.3019,0.3768,0.3213,39
100,0.3255,0.3129,0.3616,40
100,0.3295,0.3205,0.35,41
100,0.3426,0.3439,0.3135,42
100,0.3338,0.3084,0.3578,43
100,0.3452,0.3123,0.3425,44
100,0.3148,0.3368,0.3484,45
100,0.3798,0.2988,0.3214,46
100,0.3255,0.335,0.3395,47
100,0.3278,0.3177,0.3545,48
100,0.3393,0.3333,0.3274,49
100,0.334,0.3437,0.3223,50
100,0.3433,0.3345,0.3222,51
100,0.3431,0.3272,0.3297,52
100,0.3329,0.3433,0.3238,53
100,0.3405,0.3298,0.3297,54
100,0.3423,0.3206,0.3371,55
100,0.3228,0.3501,0.3271,56
100,0.3379,0.3425,0.3196,57
100,0.3212,0.3386,0.3402,58
100,0.3461,0.329,0.3249,59
100,0.3339,0.3359,0.3302,60
100,0.3512,0.3323,0.3165,61
100,0.3333,0.3337,0.333,62
100,0.3537,0.3263,0.32,63
100,0.3199,0.3559,0.3242,64
100,0.3275,0.3449,0.3276,65
100,0.3128,0.3052,0.382,66
100,0.3302,0.3413,0.3285,67
100,0.3402,0.3305,0.3293,68
100,0.35,0.3381,0.3119,69
100,0.3514,0.3158,0.3328,70
100,0.3415,0.3305,0.328,71
100,0.3375,0.3193,0.3432,72
100,0.3536,0.3397,0.3067,73
100,0.3227,0.3541,0.3232,74
100,0.3112,0.3632,0.3256,75
100,0.3389,0.3222,0.3389,76
100,0.3648,0.3182,0.317,77
100,0.3342,0.3431,0.3227,78
100,0.3264,0.3077,0.3659,79
100,0.3469,0.3121,0.341,80
100,0.3322,0.3591,0.3087,81
100,0.3291,0.3283,0.3426,82
100,0.3448,0.336,0.3192,83
100,0.3377,0.3299,0.3324,84
100,0.3389,0.3389,0.3222,85
100,0.3299,0.3366,0.3335,86
100,0.3045,0.3921,0.3034,87
100,0.3388,0.3301,0.3311,88
100,0.328,0.3371,0.3349,89
100,0.344,0.3146,0.3414,90
100,0.326,0.3391,0.3349,91
100,0.3508,0.3256,0.3236,92
100,0.327,0.3424,0.3306,93
100,0.3538,0.3389,0.3073,94
100,0.3207,0.3517,0.3276,95
100,0.3449,0.3384,0.3167,96
100,0.3398,0.3206,0.3396,97
100,0.3325,0.3141,0.3534,98
100,0.3498,0.3261,0.3241,99
100,0.3303,0.3401,0.3296,100
