"","Generation","O","Y","B"
"1",0,0.3292,0.332,0.3388
"2",1,0.3212,0.3344,0.3444
"3",2,0.3051,0.3361,0.3588
"4",3,0.2812,0.3497,0.3691
"5",4,0.2642,0.3578,0.378
"6",5,0.2376,0.3731,0.3893
"7",6,0.2129,0.3869,0.4002
"8",7,0.1977,0.4101,0.3922
"9",8,0.1808,0.4268,0.3924
"10",9,0.164,0.4427,0.3933
"11",10,0.1465,0.4727,0.3808
"12",11,0.1339,0.4961,0.37
"13",12,0.1207,0.5214,0.3579
"14",13,0.1066,0.5526,0.3408
"15",14,0.0925,0.5849,0.3226
"16",15,0.0835,0.6216,0.2949
"17",16,0.0776,0.6451,0.2773
"18",17,0.0707,0.6683,0.261
"19",18,0.0613,0.7002,0.2385
"20",19,0.0578,0.7242,0.218
"21",20,0.052,0.7498,0.1982
"22",21,0.0523,0.7669,0.1808
"23",22,0.047,0.7871,0.1659
"24",23,0.0479,0.7999,0.1522
"25",24,0.0465,0.8157,0.1378
"26",25,0.0443,0.8398,0.1159
"27",26,0.0448,0.8527,0.1025
"28",27,0.046,0.8699,0.0841
"29",28,0.0473,0.8819,0.0708
"30",29,0.0496,0.89,0.0604
"31",30,0.0515,0.8951,0.0534
"32",31,0.0552,0.9003,0.0445
"33",32,0.0579,0.907,0.0351
"34",33,0.061,0.9137,0.0253
"35",34,0.0657,0.9148,0.0195
"36",35,0.0729,0.9113,0.0158
"37",36,0.0802,0.9082,0.0116
"38",37,0.0834,0.9076,0.009
"39",38,0.0916,0.9001,0.0083
"40",39,0.1001,0.8921,0.0078
"41",40,0.1073,0.8858,0.0069
"42",41,0.1145,0.8773,0.0082
"43",42,0.1258,0.8659,0.0083
"44",43,0.1405,0.8523,0.0072
"45",44,0.1493,0.8443,0.0064
"46",45,0.1646,0.83,0.0054
"47",46,0.1761,0.8193,0.0046
"48",47,0.1936,0.8021,0.0043
"49",48,0.2097,0.7871,0.0032
"50",49,0.2253,0.7719,0.0028
"51",50,0.2434,0.7538,0.0028
"52",51,0.2601,0.7381,0.0018
"53",52,0.2868,0.7117,0.0015
"54",53,0.3086,0.6902,0.0012
"55",54,0.3282,0.6706,0.0012
"56",55,0.3497,0.6497,6e-04
"57",56,0.3798,0.6199,3e-04
"58",57,0.3999,0.6,1e-04
"59",58,0.4157,0.5843,0
"60",59,0.4414,0.5586,0
"61",60,0.4639,0.5361,0
"62",61,0.4876,0.5124,0
"63",62,0.5105,0.4895,0
"64",63,0.5215,0.4785,0
"65",64,0.5375,0.4625,0
"66",65,0.5583,0.4417,0
"67",66,0.5881,0.4119,0
