"","Generation","O","Y","B"
"1",0,0.3303,0.3453,0.3244
"2",1,0.3217,0.3566,0.3217
"3",2,0.3026,0.3723,0.3251
"4",3,0.2878,0.3823,0.3299
"5",4,0.2701,0.3916,0.3383
"6",5,0.2514,0.4011,0.3475
"7",6,0.2348,0.4196,0.3456
"8",7,0.2206,0.4273,0.3521
"9",8,0.2087,0.4365,0.3548
"10",9,0.1938,0.4519,0.3543
"11",10,0.1787,0.4671,0.3542
"12",11,0.1624,0.4806,0.357
"13",12,0.1479,0.5018,0.3503
"14",13,0.1396,0.5142,0.3462
"15",14,0.1228,0.5417,0.3355
"16",15,0.1177,0.5661,0.3162
"17",16,0.1114,0.5931,0.2955
"18",17,0.1058,0.6157,0.2785
"19",18,0.0967,0.6392,0.2641
"20",19,0.0859,0.6704,0.2437
"21",20,0.0808,0.7011,0.2181
"22",21,0.0745,0.723,0.2025
"23",22,0.0726,0.7443,0.1831
"24",23,0.071,0.767,0.162
"25",24,0.0714,0.7867,0.1419
"26",25,0.0714,0.7998,0.1288
"27",26,0.0693,0.8158,0.1149
"28",27,0.0686,0.8354,0.096
"29",28,0.0703,0.8432,0.0865
"30",29,0.0715,0.8537,0.0748
"31",30,0.0776,0.8574,0.065
"32",31,0.0836,0.8574,0.059
"33",32,0.0859,0.8629,0.0512
"34",33,0.0932,0.8625,0.0443
"35",34,0.1029,0.8559,0.0412
"36",35,0.1118,0.8537,0.0345
"37",36,0.1261,0.8402,0.0337
"38",37,0.1363,0.8347,0.029
"39",38,0.1462,0.8291,0.0247
"40",39,0.1593,0.8174,0.0233
"41",40,0.1667,0.8119,0.0214
"42",41,0.185,0.7947,0.0203
"43",42,0.1909,0.7892,0.0199
"44",43,0.2066,0.7758,0.0176
"45",44,0.2149,0.7704,0.0147
"46",45,0.2351,0.752,0.0129
"47",46,0.2475,0.7396,0.0129
"48",47,0.2679,0.7198,0.0123
"49",48,0.2888,0.7008,0.0104
"50",49,0.3021,0.6868,0.0111
"51",50,0.3288,0.66,0.0112
"52",51,0.3539,0.6368,0.0093
"53",52,0.3713,0.6183,0.0104
"54",53,0.3916,0.5968,0.0116
