"geracao","O","B","Y"
0,0.2006,0.5983,0.2011
1,0.7462,0.2384,0.0154
2,0.9255,0.0233,0.0512
3,0.8811,0.0024,0.1165
4,0.7943,0.0063,0.1994
5,0.6914,0.0132,0.2954
6,0.5774,0.0233,0.3993
7,0.4629,0.0366,0.5005
8,0.3569,0.0528,0.5903
9,0.2684,0.0701,0.6615
10,0.1951,0.0901,0.7148
11,0.1461,0.1128,0.7411
12,0.1047,0.1358,0.7595
13,0.0717,0.1584,0.7699
14,0.0474,0.1827,0.7699
15,0.0371,0.2087,0.7542
16,0.0292,0.2361,0.7347
17,0.0281,0.2634,0.7085
18,0.0296,0.2886,0.6818
19,0.032,0.3123,0.6557
20,0.0341,0.3357,0.6302
21,0.0378,0.3591,0.6031
22,0.04,0.3825,0.5775
23,0.0424,0.4059,0.5517
24,0.0444,0.4293,0.5263
25,0.0476,0.4513,0.5011
26,0.0494,0.4719,0.4787
27,0.0516,0.4925,0.4559
28,0.0533,0.5057,0.441
29,0.0586,0.5177,0.4237
30,0.0608,0.5289,0.4103
31,0.0632,0.5307,0.4061
32,0.0652,0.5309,0.4039
33,0.0684,0.5295,0.4021
34,0.0702,0.5265,0.4033
35,0.0724,0.5193,0.4083
36,0.074,0.5105,0.4155
37,0.0788,0.4987,0.4225
38,0.0806,0.4839,0.4355
39,0.0828,0.4675,0.4497
40,0.0842,0.4495,0.4663
41,0.088,0.4299,0.4821
42,0.089,0.4087,0.5023
43,0.0908,0.3859,0.5233
44,0.0917,0.3615,0.5468
45,0.1002,0.3353,0.5645
46,0.1024,0.3036,0.594
47,0.1048,0.2698,0.6254
48,0.1068,0.2352,0.658
49,0.11,0.1998,0.6902
50,0.1118,0.1636,0.7246
51,0.114,0.1266,0.7594
52,0.1156,0.0888,0.7956
53,0.1204,0.0502,0.8294
54,0.1125,0.0205,0.867
55,0.0947,3e-04,0.905
56,0.0553,0,0.9447
57,0.0153,0,0.9847
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
