"geracao","O","B","Y","sim"
100,1,0,0,1
100,1,0,0,2
100,0,0,1,3
100,0.3651,0.31,0.3249,4
100,0.351,0.3107,0.3383,5
100,0.3606,0.3118,0.3276,6
100,0.3379,0.3379,0.3242,7
100,0.3217,0.3364,0.3419,8
100,0.3655,0.3046,0.3299,9
100,0.291,0.3108,0.3982,10
100,1,0,0,11
100,0.3191,0.3521,0.3288,12
100,0.3291,0.3163,0.3546,13
100,0,1,0,14
100,0.3589,0.3125,0.3286,15
100,0.3288,0.316,0.3552,16
100,1,0,0,17
100,1,0,0,18
100,1,0,0,19
100,0.3571,0.3381,0.3048,20
100,0.351,0.3108,0.3382,21
100,0,1,0,22
100,0.3285,0.3593,0.3122,23
100,0.3228,0.319,0.3582,24
100,0.3603,0.3016,0.3381,25
100,0.3281,0.3088,0.3631,26
100,1,0,0,27
100,1,0,0,28
100,0.3249,0.3828,0.2923,29
100,0.3063,0.3556,0.3381,30
100,0,1,0,31
100,0,0,1,32
100,0.3324,0.3316,0.336,33
100,0,0,1,34
100,0,0,1,35
100,0.3603,0.3016,0.3381,36
100,0,0,1,37
100,0,1,0,38
100,0.3212,0.3438,0.335,39
100,1,0,0,40
100,0,1,0,41
100,0.3763,0.3356,0.2881,42
100,0.3351,0.3289,0.336,43
100,0.3232,0.3484,0.3284,44
100,0.3182,0.3535,0.3283,45
100,0.3271,0.3446,0.3283,46
100,0,1,0,47
100,0,0,1,48
100,0.2945,0.3797,0.3258,49
100,0.3182,0.3405,0.3413,50
100,0,1,0,51
100,0,0,1,52
100,0,0,1,53
100,1,0,0,54
100,0.3148,0.3524,0.3328,55
100,0.3552,0.3103,0.3345,56
100,0.3092,0.3376,0.3532,57
100,0,0,1,58
100,0.3319,0.3515,0.3166,59
100,1,0,0,60
100,0.322,0.3297,0.3483,61
100,0,0,1,62
100,0,1,0,63
100,0.2858,0.4016,0.3126,64
100,0,1,0,65
100,0,1,0,66
100,0,1,0,67
100,0,1,0,68
100,0.351,0.3224,0.3266,69
100,0.305,0.3225,0.3725,70
100,1,0,0,71
100,0,0,1,72
100,0.3333,0.3305,0.3362,73
100,0,0,1,74
100,0,0,1,75
100,1,0,0,76
100,0,1,0,77
100,0.3142,0.3307,0.3551,78
100,0,0,1,79
100,0,1,0,80
100,0,1,0,81
100,0,1,0,82
100,0,0,1,83
100,0,1,0,84
100,0,1,0,85
100,0.3467,0.32,0.3333,86
100,0,1,0,87
100,0,0,1,88
100,0.3864,0.3142,0.2994,89
100,1,0,0,90
100,1,0,0,91
100,0,0,1,92
100,0.338,0.3022,0.3598,93
100,0,0,1,94
100,0.3154,0.3225,0.3621,95
100,0.3297,0.3362,0.3341,96
100,0.3398,0.3151,0.3451,97
100,0,0,1,98
100,0.331,0.3409,0.3281,99
100,1,0,0,100
