"geracao","O","B","Y"
0,0.1983,0.5968,0.2049
1,0.744,0.2354,0.0206
2,0.9147,0.0232,0.0621
3,0.8546,0.0032,0.1422
4,0.7514,0.0029,0.2457
5,0.6324,0.0062,0.3614
6,0.5166,0.0123,0.4711
7,0.4202,0.0205,0.5593
8,0.3366,0.0311,0.6323
9,0.2663,0.0431,0.6906
10,0.2065,0.056,0.7375
11,0.1591,0.0695,0.7714
12,0.1211,0.0822,0.7967
13,0.0873,0.0958,0.8169
14,0.0593,0.1102,0.8305
15,0.0407,0.1254,0.8339
16,0.0287,0.1414,0.8299
17,0.024,0.1582,0.8178
18,0.0245,0.1744,0.8011
19,0.0264,0.1914,0.7822
20,0.0288,0.2092,0.762
21,0.0312,0.2278,0.741
22,0.0336,0.2472,0.7192
23,0.036,0.2674,0.6966
24,0.0384,0.2884,0.6732
25,0.0408,0.3102,0.649
26,0.0432,0.3328,0.624
27,0.0456,0.3562,0.5982
28,0.048,0.3804,0.5716
29,0.0504,0.4054,0.5442
30,0.0528,0.4312,0.516
31,0.0552,0.4578,0.487
32,0.0576,0.4852,0.4572
33,0.06,0.5134,0.4266
34,0.0624,0.5424,0.3952
35,0.0648,0.5722,0.363
36,0.0672,0.6028,0.33
37,0.0696,0.6342,0.2962
38,0.072,0.6601,0.2679
39,0.0744,0.6799,0.2457
40,0.0768,0.6997,0.2235
41,0.0792,0.7195,0.2013
42,0.0816,0.7393,0.1791
43,0.084,0.7591,0.1569
44,0.0864,0.7789,0.1347
45,0.0888,0.7987,0.1125
46,0.0912,0.8185,0.0903
47,0.0936,0.8225,0.0839
48,0.096,0.8241,0.0799
49,0.0984,0.8235,0.0781
50,0.1008,0.8198,0.0794
51,0.1032,0.8154,0.0814
52,0.1056,0.811,0.0834
53,0.108,0.8066,0.0854
54,0.1104,0.8022,0.0874
55,0.1128,0.7978,0.0894
56,0.1055,0.8031,0.0914
57,0.0782,0.8284,0.0934
58,0.0397,0.8649,0.0954
59,0.01,0.9025,0.0875
60,0,0.9409,0.0591
61,0,0.9801,0.0199
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,1,0
