"geracao","O","B","Y"
0,0.2036,0.6027,0.1937
1,0.7662,0.2194,0.0144
2,0.9295,0.0162,0.0543
3,0.872,0.0026,0.1254
4,0.7764,0.0069,0.2167
5,0.6679,0.0139,0.3182
6,0.5498,0.0236,0.4266
7,0.43,0.0356,0.5344
8,0.318,0.0502,0.6318
9,0.2247,0.0675,0.7078
10,0.1541,0.0854,0.7605
11,0.1032,0.1024,0.7944
12,0.0682,0.1202,0.8116
13,0.0503,0.1371,0.8126
14,0.0393,0.1558,0.8049
15,0.0365,0.1747,0.7888
16,0.0386,0.1953,0.7661
17,0.0423,0.217,0.7407
18,0.048,0.2373,0.7147
19,0.0553,0.255,0.6897
20,0.0628,0.2732,0.664
21,0.0703,0.2908,0.6389
22,0.0736,0.3122,0.6142
23,0.0792,0.3333,0.5875
24,0.0853,0.3504,0.5643
25,0.0936,0.3669,0.5395
26,0.1008,0.3861,0.5131
27,0.1098,0.403,0.4872
28,0.1185,0.4189,0.4626
29,0.1288,0.4336,0.4376
30,0.1351,0.452,0.4129
31,0.141,0.4732,0.3858
32,0.1476,0.4837,0.3687
33,0.1605,0.4896,0.3499
34,0.1725,0.4958,0.3317
35,0.1858,0.5023,0.3119
36,0.198,0.5053,0.2967
37,0.2117,0.5066,0.2817
38,0.2251,0.5073,0.2676
39,0.2353,0.5149,0.2498
40,0.2471,0.5182,0.2347
41,0.261,0.5052,0.2338
42,0.2749,0.4856,0.2395
43,0.285,0.4659,0.2491
44,0.2957,0.4452,0.2591
45,0.3055,0.4217,0.2728
46,0.3164,0.3978,0.2858
47,0.3265,0.3791,0.2944
48,0.3275,0.3717,0.3008
49,0.3288,0.3601,0.3111
50,0.3465,0.346,0.3075
51,0.3555,0.3359,0.3086
52,0.3657,0.3292,0.3051
53,0.3745,0.3049,0.3206
54,0.3816,0.2847,0.3337
55,0.3561,0.2999,0.344
56,0.3351,0.3155,0.3494
57,0.3311,0.3252,0.3437
58,0.3528,0.3268,0.3204
59,0.3663,0.3297,0.304
60,0.3728,0.3125,0.3147
61,0.3724,0.2907,0.3369
62,0.3691,0.282,0.3489
63,0.3423,0.3063,0.3514
64,0.3242,0.3242,0.3516
65,0.3314,0.333,0.3356
66,0.3517,0.3384,0.3099
67,0.365,0.348,0.287
68,0.3811,0.327,0.2919
69,0.3847,0.2963,0.319
70,0.3673,0.3002,0.3325
71,0.3501,0.3129,0.337
72,0.3253,0.3309,0.3438
73,0.3102,0.3493,0.3405
74,0.3104,0.361,0.3286
75,0.3268,0.3643,0.3089
76,0.3349,0.3519,0.3132
77,0.3478,0.3258,0.3264
78,0.3567,0.2979,0.3454
79,0.3351,0.3037,0.3612
80,0.3123,0.3192,0.3685
81,0.3125,0.334,0.3535
82,0.3182,0.3465,0.3353
83,0.3323,0.3492,0.3185
84,0.3451,0.3327,0.3222
85,0.361,0.3088,0.3302
86,0.3475,0.3056,0.3469
87,0.329,0.3111,0.3599
88,0.3083,0.3213,0.3704
89,0.3058,0.3408,0.3534
90,0.3123,0.359,0.3287
91,0.3271,0.3593,0.3136
92,0.345,0.3432,0.3118
93,0.3597,0.322,0.3183
94,0.3559,0.3091,0.335
95,0.3407,0.3069,0.3524
96,0.3201,0.3121,0.3678
97,0.3047,0.327,0.3683
98,0.3059,0.3447,0.3494
99,0.3147,0.353,0.3323
100,0.3232,0.3484,0.3284
