"geracao","O","B","Y"
0,0.1986,0.5978,0.2036
1,0.7375,0.2471,0.0154
2,0.9192,0.027,0.0538
3,0.8735,0.0021,0.1244
4,0.7818,0.0042,0.214
5,0.6765,0.0085,0.315
6,0.5605,0.0147,0.4248
7,0.447,0.0225,0.5305
8,0.3382,0.0319,0.6299
9,0.245,0.0429,0.7121
10,0.1645,0.0542,0.7813
11,0.1024,0.065,0.8326
12,0.0627,0.0764,0.8609
13,0.0375,0.0886,0.8739
14,0.0213,0.1016,0.8771
15,0.0095,0.1154,0.8751
16,0.0037,0.13,0.8663
17,7e-04,0.1454,0.8539
18,0,0.1616,0.8384
19,0,0.1786,0.8214
20,0,0.1964,0.8036
21,0,0.215,0.785
22,0,0.2344,0.7656
23,0,0.2546,0.7454
24,0,0.2756,0.7244
25,0,0.2974,0.7026
26,0,0.32,0.68
27,0,0.3434,0.6566
28,0,0.3676,0.6324
29,0,0.3926,0.6074
30,0,0.4184,0.5816
31,0,0.445,0.555
32,0,0.4724,0.5276
33,0,0.5006,0.4994
34,0,0.5296,0.4704
35,0,0.5594,0.4406
36,0,0.59,0.41
37,0,0.6214,0.3786
38,0,0.6536,0.3464
39,0,0.6866,0.3134
40,0,0.7204,0.2796
41,0,0.755,0.245
42,0,0.7904,0.2096
43,0,0.8266,0.1734
44,0,0.8555,0.1445
45,0,0.8761,0.1239
46,0,0.8967,0.1033
47,0,0.9173,0.0827
48,0,0.9379,0.0621
49,0,0.9585,0.0415
50,0,0.9791,0.0209
51,0,0.9997,3e-04
52,0,1,0
53,0,1,0
54,0,1,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,1,0
