"geracao","O","B","Y"
0,0.2051,0.6007,0.1942
1,0.7543,0.2191,0.0266
2,0.887,0.0266,0.0864
3,0.8058,0.0054,0.1888
4,0.6737,0.0107,0.3156
5,0.5318,0.0207,0.4475
6,0.3985,0.0368,0.5647
7,0.29,0.0572,0.6528
8,0.2099,0.0802,0.7099
9,0.1483,0.1056,0.7461
10,0.108,0.1342,0.7578
11,0.0837,0.1631,0.7532
12,0.0711,0.1925,0.7364
13,0.0644,0.2203,0.7153
14,0.0614,0.2471,0.6915
15,0.061,0.2755,0.6635
16,0.0636,0.3017,0.6347
17,0.0687,0.3269,0.6044
18,0.0749,0.3511,0.574
19,0.0811,0.3693,0.5496
20,0.0873,0.3817,0.531
21,0.0935,0.3933,0.5132
22,0.0997,0.4041,0.4962
23,0.1059,0.4141,0.48
24,0.1121,0.423,0.4649
25,0.1183,0.4308,0.4509
26,0.1245,0.4378,0.4377
27,0.1307,0.4434,0.4259
28,0.1369,0.4482,0.4149
29,0.1431,0.4522,0.4047
30,0.1493,0.4554,0.3953
31,0.1555,0.4578,0.3867
32,0.1617,0.456,0.3823
33,0.1679,0.4531,0.379
34,0.1741,0.4491,0.3768
35,0.1803,0.4443,0.3754
36,0.1865,0.4299,0.3836
37,0.1927,0.4081,0.3992
38,0.1989,0.3847,0.4164
39,0.2051,0.3597,0.4352
40,0.2113,0.3329,0.4558
41,0.2175,0.3043,0.4782
42,0.2237,0.2722,0.5041
43,0.2299,0.2372,0.5329
44,0.2361,0.2014,0.5625
45,0.2423,0.1648,0.5929
46,0.2485,0.1274,0.6241
47,0.2385,0.1054,0.6561
48,0.2277,0.0834,0.6889
49,0.2161,0.0614,0.7225
50,0.2037,0.0394,0.7569
51,0.1905,0.0174,0.7921
52,0.1676,0.0043,0.8281
53,0.1338,0.0013,0.8649
54,0.0974,1e-04,0.9025
55,0.0591,0,0.9409
56,0.0199,0,0.9801
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
