"geracao","O","B","Y"
0,0.1927,0.6025,0.2048
1,0.7336,0.2463,0.0201
2,0.9272,0.021,0.0518
3,0.8795,0.0055,0.115
4,0.7919,0.0097,0.1984
5,0.6929,0.0185,0.2886
6,0.5833,0.0306,0.3861
7,0.4762,0.0483,0.4755
8,0.3791,0.0688,0.5521
9,0.3005,0.0918,0.6077
10,0.2356,0.1151,0.6493
11,0.18,0.1393,0.6807
12,0.1353,0.1607,0.704
13,0.1024,0.1829,0.7147
14,0.0802,0.206,0.7138
15,0.0759,0.2265,0.6976
16,0.0792,0.2462,0.6746
17,0.0863,0.2652,0.6485
18,0.0906,0.2869,0.6225
19,0.0952,0.3096,0.5952
20,0.1013,0.3313,0.5674
21,0.1102,0.3534,0.5364
22,0.1188,0.3736,0.5076
23,0.1259,0.3909,0.4832
24,0.133,0.4082,0.4588
25,0.1407,0.4231,0.4362
26,0.1495,0.431,0.4195
27,0.1583,0.4391,0.4026
28,0.1661,0.4384,0.3955
29,0.1706,0.4403,0.3891
30,0.1746,0.4415,0.3839
31,0.1795,0.443,0.3775
32,0.1872,0.4454,0.3674
33,0.1943,0.4487,0.357
34,0.2013,0.4508,0.3479
35,0.2105,0.4497,0.3398
36,0.2203,0.4474,0.3323
37,0.2278,0.4463,0.3259
38,0.2325,0.4418,0.3257
39,0.2357,0.4369,0.3274
40,0.227,0.4461,0.3269
41,0.2164,0.4591,0.3245
42,0.2017,0.4768,0.3215
43,0.1997,0.4915,0.3088
44,0.1956,0.5077,0.2967
45,0.1952,0.5177,0.2871
46,0.1953,0.5276,0.2771
47,0.2,0.534,0.266
48,0.2047,0.5362,0.2591
49,0.21,0.5364,0.2536
50,0.2112,0.5402,0.2486
51,0.2074,0.5473,0.2453
52,0.2059,0.5549,0.2392
53,0.2088,0.5623,0.2289
54,0.2107,0.5706,0.2187
55,0.2141,0.5742,0.2117
56,0.2183,0.5714,0.2103
57,0.223,0.5674,0.2096
58,0.2283,0.5612,0.2105
59,0.2347,0.5519,0.2134
60,0.2411,0.5405,0.2184
61,0.2486,0.5273,0.2241
62,0.2551,0.5144,0.2305
63,0.2626,0.5003,0.2371
64,0.2708,0.4844,0.2448
65,0.2817,0.467,0.2513
66,0.2937,0.4473,0.259
67,0.3057,0.4265,0.2678
68,0.3189,0.4025,0.2786
69,0.3327,0.377,0.2903
70,0.3466,0.3503,0.3031
71,0.3607,0.3234,0.3159
72,0.3645,0.3057,0.3298
73,0.339,0.3179,0.3431
74,0.3122,0.3311,0.3567
75,0.3139,0.3456,0.3405
76,0.3269,0.3593,0.3138
77,0.3406,0.3637,0.2957
78,0.3556,0.3381,0.3063
79,0.3703,0.3108,0.3189
80,0.375,0.2923,0.3327
81,0.3497,0.3037,0.3466
82,0.3234,0.3159,0.3607
83,0.3057,0.3298,0.3645
84,0.3179,0.3431,0.339
85,0.3311,0.3567,0.3122
86,0.3456,0.3405,0.3139
87,0.3593,0.3138,0.3269
88,0.3637,0.2957,0.3406
89,0.3381,0.3063,0.3556
90,0.3108,0.3189,0.3703
91,0.2923,0.3327,0.375
92,0.3037,0.3466,0.3497
93,0.3159,0.3607,0.3234
94,0.3298,0.3645,0.3057
95,0.3431,0.339,0.3179
96,0.3567,0.3122,0.3311
97,0.3405,0.3139,0.3456
98,0.3138,0.3269,0.3593
99,0.2957,0.3406,0.3637
100,0.3063,0.3556,0.3381
