"geracao","O","B","Y"
0,0.1968,0.602,0.2012
1,0.7445,0.2406,0.0149
2,0.9164,0.0291,0.0545
3,0.8734,0.0014,0.1252
4,0.78,4e-04,0.2196
5,0.6768,0.0021,0.3211
6,0.5727,0.004,0.4233
7,0.4702,0.007,0.5228
8,0.3762,0.0108,0.613
9,0.2952,0.0154,0.6894
10,0.2253,0.0208,0.7539
11,0.1595,0.027,0.8135
12,0.1081,0.034,0.8579
13,0.0701,0.0418,0.8881
14,0.0445,0.0504,0.9051
15,0.0256,0.0598,0.9146
16,0.0134,0.07,0.9166
17,0.0044,0.081,0.9146
18,9e-04,0.0928,0.9063
19,0,0.1054,0.8946
20,0,0.1188,0.8812
21,0,0.133,0.867
22,0,0.148,0.852
23,0,0.1638,0.8362
24,0,0.1804,0.8196
25,0,0.1978,0.8022
26,0,0.216,0.784
27,0,0.235,0.765
28,0,0.2548,0.7452
29,0,0.2754,0.7246
30,0,0.2968,0.7032
31,0,0.319,0.681
32,0,0.342,0.658
33,0,0.3658,0.6342
34,0,0.3904,0.6096
35,0,0.4158,0.5842
36,0,0.442,0.558
37,0,0.469,0.531
38,0,0.4968,0.5032
39,0,0.5254,0.4746
40,0,0.5548,0.4452
41,0,0.585,0.415
42,0,0.616,0.384
43,0,0.6478,0.3522
44,0,0.6804,0.3196
45,0,0.7138,0.2862
46,0,0.748,0.252
47,0,0.783,0.217
48,0,0.8188,0.1812
49,0,0.8554,0.1446
50,0,0.8928,0.1072
51,0,0.931,0.069
52,0,0.97,0.03
53,0,0.9999,1e-04
54,0,1,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,1,0
