"","Generation","strategy","prob","freq_media","freq_sd"
"122",40,"O",0.25,0.664083,0.0439365176916501
"123",40,"Y",0.25,0.287864,0.0388035573710255
"124",41,"B",0.25,0.047528,0.0224156830019619
"125",41,"O",0.25,0.677656,0.0438096279257185
"126",41,"Y",0.25,0.274816,0.0376058579146248
"127",42,"B",0.25,0.04706,0.0225441519662814
"128",42,"O",0.25,0.691196,0.0437229152410005
"129",42,"Y",0.25,0.261744,0.0370605873584531
"130",43,"B",0.25,0.046918,0.0231705507099426
"131",43,"O",0.25,0.703761,0.0433652444156876
"132",43,"Y",0.25,0.249321,0.0358351959910529
"133",44,"B",0.25,0.046677,0.0237909449500469
"134",44,"O",0.25,0.71591,0.0434374913705391
"135",44,"Y",0.25,0.237413,0.0354233976634117
"136",45,"B",0.25,0.0465,0.0240248440434716
"137",45,"O",0.25,0.727457,0.0428836651696638
"138",45,"Y",0.25,0.226043,0.0338722891270589
"139",46,"B",0.25,0.046456,0.0246754952259618
"140",46,"O",0.25,0.738511,0.0435132579238962
"141",46,"Y",0.25,0.215033,0.0330946181196407
"142",47,"B",0.25,0.046543,0.0256660183113703
"143",47,"O",0.25,0.749924,0.0438295807127395
"144",47,"Y",0.25,0.203533,0.0322118055245513
"145",48,"B",0.25,0.04672,0.0264739971529145
"146",48,"O",0.25,0.759461,0.0446039516639547
"147",48,"Y",0.25,0.193819,0.0314317014743993
"148",49,"B",0.25,0.046955,0.027136539811282
"149",49,"O",0.25,0.768651,0.0449185829017233
"150",49,"Y",0.25,0.184394,0.0306340696980115
"151",50,"B",0.25,0.04721,0.0274567667507309
"152",50,"O",0.25,0.777121,0.0450066960113558
"153",50,"Y",0.25,0.175669,0.0297366409866972
"154",51,"B",0.25,0.047608,0.0286662074663715
"155",51,"O",0.25,0.785886,0.0458934295158607
"156",51,"Y",0.25,0.166506,0.0292166785769825
"157",52,"B",0.25,0.047935,0.0295049572106112
"158",52,"O",0.25,0.793829,0.0465987347446042
"159",52,"Y",0.25,0.158236,0.0289506041178397
"160",53,"B",0.25,0.048408,0.0303029540847526
"161",53,"O",0.25,0.8013,0.0469478261886361
"162",53,"Y",0.25,0.150292,0.028498653804818
"163",54,"B",0.25,0.049161,0.0312800930499275
"164",54,"O",0.25,0.807624,0.0473045796574249
"165",54,"Y",0.25,0.143215,0.0272691573842032
"166",55,"B",0.25,0.049767,0.0326119642636152
"167",55,"O",0.25,0.814258,0.0486393285190891
"168",55,"Y",0.25,0.135975,0.0273849673980806
"169",56,"B",0.25,0.050324,0.0332685434583239
"170",56,"O",0.25,0.820948,0.0486313559736759
"171",56,"Y",0.25,0.128728,0.0259429602759359
"172",57,"B",0.25,0.050692,0.0341957575489041
"173",57,"O",0.25,0.827872,0.0497329821256589
"174",57,"Y",0.25,0.121436,0.0252956319142138
"175",58,"B",0.25,0.051594,0.035423261261265
"176",58,"O",0.25,0.833807,0.0514710632738965
"177",58,"Y",0.25,0.114599,0.0253200942081002
"178",59,"B",0.25,0.052299,0.0362801208750339
"179",59,"O",0.25,0.83889,0.0524427065925041
"180",59,"Y",0.25,0.108811,0.0255214027629733
"181",60,"B",0.25,0.053095,0.0372782043586064
"182",60,"O",0.25,0.843106,0.0532958046371306
"183",60,"Y",0.25,0.103799,0.0252854551355941
"184",61,"B",0.25,0.053912,0.0379805273871501
"185",61,"O",0.25,0.84745,0.0542349164433408
"186",61,"Y",0.25,0.098638,0.0250962501927554
"187",62,"B",0.25,0.054772,0.0388903225478883
"188",62,"O",0.25,0.851993,0.0559085368790813
"189",62,"Y",0.25,0.093235,0.0253012291592661
"190",63,"B",0.25,0.055661,0.0397800642802574
"191",63,"O",0.25,0.855924,0.0567627939033763
"192",63,"Y",0.25,0.088415,0.02505425375686
"193",64,"B",0.25,0.056375,0.0401545106086754
"194",64,"O",0.25,0.859623,0.0572122114799301
"195",64,"Y",0.25,0.084002,0.0249037946076213
"196",65,"B",0.25,0.057507,0.041306003317932
"197",65,"O",0.25,0.862805,0.0584393916806121
"198",65,"Y",0.25,0.079688,0.0245261900008867
"199",66,"B",0.25,0.058765,0.042336514733714
"200",66,"O",0.25,0.865294,0.0597144024723204
"201",66,"Y",0.25,0.075941,0.0245840717711384
"202",67,"B",0.25,0.059766,0.0432305943386011
"203",67,"O",0.25,0.868102,0.061018986910931
"204",67,"Y",0.25,0.072132,0.0249676958156622
"205",68,"B",0.25,0.06099,0.0444880610474043
"206",68,"O",0.25,0.870117,0.062863789026013
"207",68,"Y",0.25,0.068893,0.0253305112263827
"208",69,"B",0.25,0.062096,0.0453468382736232
"209",69,"O",0.25,0.871799,0.0641395881392036
"210",69,"Y",0.25,0.066105,0.0252502000192098
"211",70,"B",0.25,0.063415,0.0463168716669218
"212",70,"O",0.25,0.873532,0.0651112534765914
"213",70,"Y",0.25,0.063053,0.0251376752740149
"214",71,"B",0.25,0.06479,0.0476669707555462
"215",71,"O",0.25,0.87505,0.0665893362106103
"216",71,"Y",0.25,0.06016,0.0248333231645291
"217",72,"B",0.25,0.066048,0.0490010461236505
"218",72,"O",0.25,0.876607,0.0682862783367999
"219",72,"Y",0.25,0.057345,0.0249521618059013
"220",73,"B",0.25,0.067548,0.0503772284616249
"221",73,"O",0.25,0.877868,0.0696566411229055
"222",73,"Y",0.25,0.054584,0.024927866521083
"223",74,"B",0.25,0.069108,0.0514574526215886
"224",74,"O",0.25,0.878477,0.0714024259766679
"225",74,"Y",0.25,0.052415,0.0251601230706309
"226",75,"B",0.25,0.070884,0.052898574038943
"227",75,"O",0.25,0.879013,0.0732170616190052
"228",75,"Y",0.25,0.050103,0.0252687152563614
"229",76,"B",0.25,0.072494,0.0543685177397004
"230",76,"O",0.25,0.879497,0.0747911576567468
"231",76,"Y",0.25,0.048009,0.0251561069357247
"232",77,"B",0.25,0.073693,0.0557829130186698
"233",77,"O",0.25,0.879701,0.0767380583214711
"234",77,"Y",0.25,0.046606,0.0254518155173912
"235",78,"B",0.25,0.075196,0.0571040976081083
"236",78,"O",0.25,0.879892,0.0786918458419943
"237",78,"Y",0.25,0.044912,0.0258638637969088
"238",79,"B",0.25,0.07663,0.0582791982571393
"239",79,"O",0.25,0.880344,0.0801091708643003
"240",79,"Y",0.25,0.043026,0.0257826722016665
"241",80,"B",0.25,0.078171,0.0594465948171427
"242",80,"O",0.25,0.879891,0.0816988892460626
"243",80,"Y",0.25,0.041938,0.0260983175277215
"244",81,"B",0.25,0.079692,0.0612982058168397
"245",81,"O",0.25,0.879721,0.0841940451060117
"246",81,"Y",0.25,0.040587,0.0265173343534399
"247",82,"B",0.25,0.081297,0.0623159130657019
"248",82,"O",0.25,0.879206,0.0857498332536589
"249",82,"Y",0.25,0.039497,0.0270081074808467
"250",83,"B",0.25,0.083284,0.0635921437876972
"251",83,"O",0.25,0.878287,0.0877110057881201
"252",83,"Y",0.25,0.038429,0.0274610809817616
"253",84,"B",0.25,0.084867,0.0649101446601221
"254",84,"O",0.25,0.877736,0.0893786729357601
"255",84,"Y",0.25,0.037397,0.0276993689714069
"256",85,"B",0.25,0.086139,0.0659699241160605
"257",85,"O",0.25,0.877432,0.0908967578179672
"258",85,"Y",0.25,0.036429,0.028106724077769
"259",86,"B",0.25,0.087766,0.0675775457597351
"260",86,"O",0.25,0.876418,0.093273990203512
"261",86,"Y",0.25,0.035816,0.0288497176079872
"262",87,"B",0.25,0.089379,0.0688819943853621
"263",87,"O",0.25,0.875654,0.0949359118435998
"264",87,"Y",0.25,0.034967,0.0292433401034157
"265",88,"B",0.25,0.090874,0.0701841612394769
"266",88,"O",0.25,0.874667,0.0967981040124446
"267",88,"Y",0.25,0.034459,0.0299832616435884
"268",89,"B",0.25,0.092834,0.0716190979834262
"269",89,"O",0.25,0.873447,0.0984646646921082
"270",89,"Y",0.25,0.033719,0.030343899907826
"271",90,"B",0.25,0.093917,0.0724534110914585
"272",90,"O",0.25,0.872733,0.10009607006988
"273",90,"Y",0.25,0.03335,0.0311399301946111
"274",91,"B",0.25,0.095658,0.0736056283256391
"275",91,"O",0.25,0.871502,0.101546290364881
"276",91,"Y",0.25,0.03284,0.0314722709441794
"277",92,"B",0.25,0.097548,0.0751372098163746
"278",92,"O",0.25,0.870136,0.10354761508552
"279",92,"Y",0.25,0.032316,0.0320670122831497
"280",93,"B",0.25,0.099812,0.0768431174733971
"281",93,"O",0.25,0.86795,0.105943912643732
"282",93,"Y",0.25,0.032238,0.0327666613644066
"283",94,"B",0.25,0.101772,0.078702531731896
"284",94,"O",0.25,0.866461,0.107888587216235
"285",94,"Y",0.25,0.031767,0.0329288030714323
"286",95,"B",0.25,0.103962,0.080557441429684
"287",95,"O",0.25,0.864363,0.110469573172751
"288",95,"Y",0.25,0.031675,0.0335872401667687
"289",96,"B",0.25,0.105885,0.0819979420473465
"290",96,"O",0.25,0.862456,0.112553312458828
"291",96,"Y",0.25,0.031659,0.0343198946779717
"292",97,"B",0.25,0.108041,0.0835951053313143
"293",97,"O",0.25,0.860306,0.114516234850978
"294",97,"Y",0.25,0.031653,0.0347203851134207
"295",98,"B",0.25,0.109877,0.0851308497952927
"296",98,"O",0.25,0.858269,0.116740596225438
"297",98,"Y",0.25,0.031854,0.0353599197288727
"298",99,"B",0.25,0.112321,0.0864981371843558
"299",99,"O",0.25,0.85588,0.118746970615267
"300",99,"Y",0.25,0.031799,0.0360389309559044
"301",100,"B",0.25,0.114461,0.0876552739399915
"302",100,"O",0.25,0.853446,0.120876548944981
"303",100,"Y",0.25,0.032093,0.0371233223407626
"304",101,"B",0.25,0.116839,0.0894300617151964
"305",101,"O",0.25,0.850999,0.12323643572377
"306",101,"Y",0.25,0.032162,0.037797508816419
"307",102,"B",0.25,0.11863,0.0907605279531991
"308",102,"O",0.25,0.848588,0.125585766323379
"309",102,"Y",0.25,0.032782,0.0388773242314069
"310",103,"B",0.25,0.120774,0.0921816844798106
"311",103,"O",0.25,0.846016,0.127938870914625
"312",103,"Y",0.25,0.03321,0.040032932150489
"313",104,"B",0.25,0.12305,0.0937170073932553
"314",104,"O",0.25,0.843323,0.130404684689197
"315",104,"Y",0.25,0.033627,0.0410735626220157
"316",105,"B",0.25,0.125191,0.0950976277678403
"317",105,"O",0.25,0.840727,0.132663863115649
"318",105,"Y",0.25,0.034082,0.0421715097949295
"319",106,"B",0.25,0.127533,0.0965443500483722
"320",106,"O",0.25,0.838008,0.135010652538938
"321",106,"Y",0.25,0.034459,0.0431342398270161
"322",107,"B",0.25,0.129831,0.0978715677649422
"323",107,"O",0.25,0.834949,0.137635485128896
"324",107,"Y",0.25,0.03522,0.0444800761208563
"325",108,"B",0.25,0.132309,0.0989641339939461
"326",108,"O",0.25,0.831863,0.139916382427924
"327",108,"Y",0.25,0.035828,0.0460552765816264
"328",109,"B",0.25,0.134507,0.0999531478678229
"329",109,"O",0.25,0.828963,0.1420529518962
"330",109,"Y",0.25,0.03653,0.0474975118965577
"331",110,"B",0.25,0.136813,0.100886931064415
"332",110,"O",0.25,0.82601,0.144104686624241
"333",110,"Y",0.25,0.037177,0.0488539233766637
"334",111,"B",0.25,0.13911,0.101766832425001
"335",111,"O",0.25,0.822997,0.146276455056993
"336",111,"Y",0.25,0.037893,0.0504849497625307
"337",112,"B",0.25,0.14171,0.102515050878228
"338",112,"O",0.25,0.819657,0.148045412944608
"339",112,"Y",0.25,0.038633,0.0518901229483604
"340",113,"B",0.25,0.143939,0.103645715406968
"341",113,"O",0.25,0.81645,0.150560699863657
"342",113,"Y",0.25,0.039611,0.0536204372596792
"343",114,"B",0.25,0.146275,0.10466864635746
