"geracao","O","B","Y"
0,0.0103,0.4872,0.5025
1,0.0126,0.9839,0.0035
2,0.0486,0.9514,0
3,0.1032,0.8968,0
4,0.1679,0.8321,0
5,0.2376,0.7624,0
6,0.3135,0.6865,0
7,0.3908,0.6092,0
8,0.4673,0.5327,0
9,0.5392,0.4608,0
10,0.6053,0.3947,0
11,0.6663,0.3337,0
12,0.7253,0.2747,0
13,0.7842,0.2158,0
14,0.8354,0.1646,0
15,0.8779,0.1221,0
16,0.9114,0.0886,0
17,0.9384,0.0616,0
18,0.9568,0.0432,0
19,0.97,0.03,0
20,0.9792,0.0208,0
21,0.9868,0.0132,0
22,0.9928,0.0072,0
23,0.9968,0.0032,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,1,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,1,0,0
48,1,0,0
49,1,0,0
50,1,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,1,0,0
56,1,0,0
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,0
61,1,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,1,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,1,0,0
71,1,0,0
72,1,0,0
73,1,0,0
74,1,0,0
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,1,0,0
82,1,0,0
83,1,0,0
84,1,0,0
85,1,0,0
86,1,0,0
87,1,0,0
88,1,0,0
89,1,0,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,0,0
94,1,0,0
95,1,0,0
96,1,0,0
97,1,0,0
98,1,0,0
99,1,0,0
100,1,0,0
