"","Generation","O","Y","B"
"163",162,0.7199,0.0953,0.1848
"164",163,0.7148,0.0982,0.187
"165",164,0.7082,0.104,0.1878
"166",165,0.7078,0.1009,0.1913
"167",166,0.7061,0.0985,0.1954
"168",167,0.704,0.0947,0.2013
"169",168,0.7011,0.0952,0.2037
"170",169,0.6989,0.0942,0.2069
"171",170,0.7022,0.0918,0.206
"172",171,0.7045,0.0931,0.2024
"173",172,0.7011,0.0935,0.2054
"174",173,0.6983,0.0999,0.2018
"175",174,0.6944,0.1026,0.203
"176",175,0.6921,0.1049,0.203
"177",176,0.6904,0.1074,0.2022
"178",177,0.6892,0.1102,0.2006
"179",178,0.6961,0.109,0.1949
"180",179,0.6916,0.1109,0.1975
"181",180,0.6936,0.1073,0.1991
"182",181,0.6928,0.1071,0.2001
"183",182,0.6841,0.1139,0.202
"184",183,0.6851,0.1114,0.2035
"185",184,0.6846,0.1129,0.2025
"186",185,0.6858,0.1121,0.2021
"187",186,0.6841,0.1108,0.2051
"188",187,0.685,0.1098,0.2052
"189",188,0.682,0.1086,0.2094
"190",189,0.6832,0.1079,0.2089
"191",190,0.6778,0.1089,0.2133
"192",191,0.6707,0.1118,0.2175
"193",192,0.6697,0.1101,0.2202
"194",193,0.6658,0.1131,0.2211
"195",194,0.6567,0.1183,0.225
"196",195,0.6516,0.1213,0.2271
"197",196,0.6487,0.1201,0.2312
"198",197,0.6448,0.1276,0.2276
"199",198,0.6438,0.1314,0.2248
"200",199,0.639,0.1364,0.2246
"201",200,0.631,0.1438,0.2252
"202",201,0.6265,0.1491,0.2244
"203",202,0.6197,0.1573,0.223
"204",203,0.6105,0.1658,0.2237
"205",204,0.6102,0.1742,0.2156
"206",205,0.611,0.182,0.207
"207",206,0.609,0.1902,0.2008
"208",207,0.609,0.1978,0.1932
"209",208,0.6189,0.1912,0.1899
"210",209,0.6165,0.1837,0.1998
"211",210,0.6168,0.1837,0.1995
"212",211,0.6154,0.1877,0.1969
"213",212,0.6259,0.1807,0.1934
"214",213,0.6249,0.1855,0.1896
"215",214,0.6338,0.1847,0.1815
"216",215,0.645,0.1778,0.1772
"217",216,0.6482,0.1776,0.1742
"218",217,0.6548,0.1678,0.1774
"219",218,0.6557,0.1681,0.1762
"220",219,0.6536,0.1684,0.178
"221",220,0.6506,0.1691,0.1803
"222",221,0.6535,0.1702,0.1763
"223",222,0.6458,0.1747,0.1795
"224",223,0.643,0.1796,0.1774
"225",224,0.6438,0.181,0.1752
"226",225,0.6425,0.1802,0.1773
"227",226,0.6417,0.1788,0.1795
"228",227,0.6382,0.1814,0.1804
"229",228,0.6376,0.1765,0.1859
"230",229,0.6374,0.1729,0.1897
"231",230,0.6332,0.1774,0.1894
"232",231,0.6311,0.1829,0.186
"233",232,0.6184,0.1897,0.1919
"234",233,0.6132,0.1914,0.1954
"235",234,0.6133,0.1897,0.197
"236",235,0.6145,0.1911,0.1944
"237",236,0.6145,0.1935,0.192
"238",237,0.6107,0.2008,0.1885
"239",238,0.6019,0.2099,0.1882
"240",239,0.6004,0.2167,0.1829
"241",240,0.6044,0.2214,0.1742
"242",241,0.6008,0.2306,0.1686
"243",242,0.5962,0.2432,0.1606
"244",243,0.5885,0.2526,0.1589
"245",244,0.5868,0.2605,0.1527
"246",245,0.593,0.2622,0.1448
"247",246,0.6072,0.2594,0.1334
"248",247,0.6181,0.2525,0.1294
"249",248,0.6224,0.249,0.1286
"250",249,0.6242,0.2506,0.1252
"251",250,0.633,0.2424,0.1246
"252",251,0.6407,0.2382,0.1211
"253",252,0.6536,0.2275,0.1189
"254",253,0.6573,0.2246,0.1181
"255",254,0.6623,0.2171,0.1206
"256",255,0.6707,0.2074,0.1219
"257",256,0.6776,0.1979,0.1245
"258",257,0.6829,0.1896,0.1275
"259",258,0.6896,0.1794,0.131
"260",259,0.6964,0.1683,0.1353
"261",260,0.6947,0.1697,0.1356
"262",261,0.6901,0.1686,0.1413
"263",262,0.6879,0.1735,0.1386
"264",263,0.6888,0.1742,0.137
"265",264,0.6883,0.1715,0.1402
"266",265,0.692,0.1686,0.1394
"267",266,0.6854,0.1738,0.1408
"268",267,0.6732,0.1824,0.1444
"269",268,0.6789,0.1776,0.1435
"270",269,0.674,0.1789,0.1471
"271",270,0.6717,0.1793,0.149
"272",271,0.6754,0.1755,0.1491
"273",272,0.6855,0.1655,0.149
"274",273,0.6948,0.1546,0.1506
"275",274,0.7002,0.1491,0.1507
"276",275,0.7004,0.1448,0.1548
"277",276,0.697,0.1423,0.1607
"278",277,0.6984,0.1392,0.1624
"279",278,0.6957,0.1356,0.1687
"280",279,0.6924,0.1362,0.1714
"281",280,0.6864,0.1363,0.1773
"282",281,0.6797,0.1392,0.1811
"283",282,0.6785,0.1405,0.181
"284",283,0.6847,0.1371,0.1782
"285",284,0.6899,0.1347,0.1754
"286",285,0.6957,0.1322,0.1721
"287",286,0.7003,0.1273,0.1724
"288",287,0.7001,0.1228,0.1771
"289",288,0.7012,0.1218,0.177
"290",289,0.697,0.1213,0.1817
"291",290,0.6936,0.1233,0.1831
"292",291,0.6953,0.1199,0.1848
"293",292,0.6926,0.1222,0.1852
"294",293,0.6922,0.117,0.1908
"295",294,0.6903,0.1173,0.1924
"296",295,0.6866,0.1229,0.1905
"297",296,0.6854,0.1271,0.1875
"298",297,0.6823,0.1292,0.1885
"299",298,0.6778,0.1324,0.1898
"300",299,0.6765,0.1367,0.1868
"301",300,0.6734,0.1395,0.1871
"302",301,0.6701,0.1388,0.1911
"303",302,0.6628,0.1444,0.1928
"304",303,0.6568,0.1552,0.188
"305",304,0.6485,0.1622,0.1893
"306",305,0.6397,0.1708,0.1895
"307",306,0.6325,0.1845,0.183
"308",307,0.6292,0.192,0.1788
"309",308,0.6298,0.1963,0.1739
"310",309,0.6334,0.1977,0.1689
"311",310,0.6289,0.1971,0.174
"312",311,0.625,0.2005,0.1745
"313",312,0.6223,0.2049,0.1728
"314",313,0.618,0.2082,0.1738
"315",314,0.6192,0.2094,0.1714
"316",315,0.6249,0.2024,0.1727
"317",316,0.6289,0.198,0.1731
"318",317,0.6321,0.1923,0.1756
"319",318,0.6361,0.1865,0.1774
"320",319,0.6376,0.1825,0.1799
"321",320,0.645,0.1753,0.1797
"322",321,0.6504,0.1696,0.18
"323",322,0.6529,0.1717,0.1754
"324",323,0.658,0.1626,0.1794
"325",324,0.6627,0.1639,0.1734
"326",325,0.664,0.1597,0.1763
"327",326,0.6612,0.1597,0.1791
"328",327,0.6645,0.1566,0.1789
"329",328,0.6683,0.1551,0.1766
"330",329,0.6723,0.1505,0.1772
"331",330,0.6821,0.1457,0.1722
"332",331,0.6796,0.1426,0.1778
"333",332,0.6901,0.1293,0.1806
"334",333,0.6908,0.1233,0.1859
"335",334,0.6987,0.1137,0.1876
"336",335,0.705,0.1091,0.1859
"337",336,0.7113,0.1015,0.1872
"338",337,0.7075,0.0953,0.1972
"339",338,0.7075,0.0917,0.2008
"340",339,0.7024,0.0892,0.2084
"341",340,0.6947,0.0898,0.2155
"342",341,0.6927,0.0902,0.2171
"343",342,0.6876,0.0914,0.221
"344",343,0.687,0.0869,0.2261
"345",344,0.6861,0.0857,0.2282
"346",345,0.6789,0.0858,0.2353
"347",346,0.6722,0.0881,0.2397
"348",347,0.6744,0.0849,0.2407
"349",348,0.6728,0.0822,0.245
"350",349,0.6743,0.0811,0.2446
"351",350,0.6745,0.0798,0.2457
"352",351,0.6718,0.0817,0.2465
"353",352,0.6747,0.0799,0.2454
"354",353,0.6728,0.0824,0.2448
"355",354,0.6661,0.0871,0.2468
"356",355,0.668,0.0891,0.2429
"357",356,0.6669,0.0893,0.2438
"358",357,0.6643,0.0923,0.2434
"359",358,0.6666,0.0921,0.2413
"360",359,0.6642,0.0914,0.2444
"361",360,0.6647,0.085,0.2503
"362",361,0.6576,0.0905,0.2519
"363",362,0.6511,0.0911,0.2578
"364",363,0.6499,0.0952,0.2549
"365",364,0.6482,0.096,0.2558
"366",365,0.6433,0.0998,0.2569
"367",366,0.6406,0.103,0.2564
"368",367,0.6376,0.1102,0.2522
"369",368,0.6385,0.1118,0.2497
"370",369,0.6393,0.1132,0.2475
"371",370,0.6415,0.1138,0.2447
"372",371,0.6386,0.115,0.2464
"373",372,0.6363,0.1174,0.2463
