"","Generation","O","Y","B"
"1",0,0.3285,0.3397,0.3318
"2",1,0.3141,0.3467,0.3392
"3",2,0.3008,0.3562,0.343
"4",3,0.2883,0.3616,0.3501
"5",4,0.2676,0.3725,0.3599
"6",5,0.2466,0.3876,0.3658
"7",6,0.2228,0.4022,0.375
"8",7,0.2064,0.4185,0.3751
"9",8,0.1888,0.4344,0.3768
"10",9,0.1719,0.4543,0.3738
"11",10,0.1613,0.4717,0.367
"12",11,0.1494,0.4972,0.3534
"13",12,0.1386,0.5087,0.3527
"14",13,0.128,0.5296,0.3424
"15",14,0.1192,0.551,0.3298
"16",15,0.1143,0.5802,0.3055
"17",16,0.1062,0.6128,0.281
"18",17,0.0927,0.6361,0.2712
"19",18,0.0873,0.664,0.2487
"20",19,0.0828,0.6882,0.229
"21",20,0.0722,0.7146,0.2132
"22",21,0.0672,0.7366,0.1962
"23",22,0.0658,0.7541,0.1801
"24",23,0.0644,0.7667,0.1689
"25",24,0.0613,0.7816,0.1571
"26",25,0.0628,0.7971,0.1401
"27",26,0.0633,0.8124,0.1243
"28",27,0.0602,0.8234,0.1164
"29",28,0.0596,0.8332,0.1072
"30",29,0.0602,0.8445,0.0953
"31",30,0.0597,0.8549,0.0854
"32",31,0.0611,0.8627,0.0762
"33",32,0.06,0.8748,0.0652
"34",33,0.0661,0.8793,0.0546
"35",34,0.069,0.8848,0.0462
"36",35,0.0721,0.8901,0.0378
"37",36,0.079,0.8867,0.0343
"38",37,0.0824,0.8856,0.032
"39",38,0.0906,0.8817,0.0277
"40",39,0.0972,0.878,0.0248
"41",40,0.1112,0.8655,0.0233
"42",41,0.1199,0.8578,0.0223
"43",42,0.13,0.8501,0.0199
"44",43,0.1398,0.8403,0.0199
"45",44,0.1436,0.8358,0.0206
"46",45,0.1565,0.8255,0.018
"47",46,0.1686,0.8161,0.0153
"48",47,0.1823,0.8055,0.0122
"49",48,0.1987,0.7881,0.0132
"50",49,0.2192,0.7683,0.0125
"51",50,0.2311,0.7557,0.0132
"52",51,0.2476,0.7376,0.0148
"53",52,0.2726,0.7145,0.0129
"54",53,0.2948,0.6924,0.0128
"55",54,0.3141,0.6728,0.0131
"56",55,0.3277,0.6598,0.0125
"57",56,0.3413,0.6466,0.0121
"58",57,0.3669,0.6213,0.0118
"59",58,0.3956,0.5926,0.0118
"60",59,0.4192,0.5691,0.0117
"61",60,0.4279,0.5608,0.0113
"62",61,0.4451,0.5434,0.0115
"63",62,0.4677,0.5204,0.0119
"64",63,0.4931,0.4947,0.0122
"65",64,0.5159,0.473,0.0111
"66",65,0.5356,0.4529,0.0115
"67",66,0.5646,0.4244,0.011
"68",67,0.5843,0.404,0.0117
"69",68,0.6062,0.3825,0.0113
"70",69,0.6225,0.3651,0.0124
"71",70,0.6278,0.3604,0.0118
"72",71,0.6423,0.3456,0.0121
"73",72,0.6624,0.3251,0.0125
"74",73,0.6767,0.3108,0.0125
"75",74,0.696,0.29,0.014
"76",75,0.7036,0.2826,0.0138
"77",76,0.7159,0.2705,0.0136
