"","Generation","O","Y","B"
"1",0,0.3201,0.3392,0.3407
"2",1,0.3079,0.3409,0.3512
"3",2,0.2881,0.3517,0.3602
"4",3,0.2687,0.3617,0.3696
"5",4,0.2434,0.3858,0.3708
"6",5,0.2188,0.3993,0.3819
"7",6,0.1994,0.4154,0.3852
"8",7,0.1854,0.4338,0.3808
"9",8,0.1704,0.4611,0.3685
"10",9,0.1513,0.4851,0.3636
"11",10,0.1317,0.5058,0.3625
"12",11,0.1223,0.5296,0.3481
"13",12,0.1153,0.56,0.3247
"14",13,0.1076,0.5884,0.304
"15",14,0.0942,0.613,0.2928
"16",15,0.0866,0.6367,0.2767
"17",16,0.0747,0.6619,0.2634
"18",17,0.067,0.6884,0.2446
"19",18,0.0607,0.709,0.2303
"20",19,0.0556,0.7344,0.21
"21",20,0.0518,0.7656,0.1826
"22",21,0.0529,0.7898,0.1573
"23",22,0.0509,0.8089,0.1402
"24",23,0.0522,0.8263,0.1215
"25",24,0.0562,0.8423,0.1015
"26",25,0.0551,0.8608,0.0841
"27",26,0.0571,0.8734,0.0695
"28",27,0.064,0.8765,0.0595
"29",28,0.0639,0.882,0.0541
"30",29,0.0666,0.888,0.0454
"31",30,0.0674,0.89,0.0426
"32",31,0.0713,0.8876,0.0411
"33",32,0.0761,0.8874,0.0365
"34",33,0.0798,0.8881,0.0321
"35",34,0.0894,0.8816,0.029
"36",35,0.0986,0.8771,0.0243
"37",36,0.1065,0.8714,0.0221
"38",37,0.115,0.8657,0.0193
"39",38,0.1222,0.8597,0.0181
"40",39,0.1343,0.8498,0.0159
"41",40,0.149,0.8366,0.0144
"42",41,0.1593,0.8284,0.0123
"43",42,0.1712,0.8165,0.0123
"44",43,0.1825,0.8063,0.0112
"45",44,0.1996,0.7901,0.0103
"46",45,0.2193,0.7698,0.0109
"47",46,0.2327,0.7566,0.0107
"48",47,0.2469,0.7425,0.0106
"49",48,0.2594,0.7309,0.0097
"50",49,0.2751,0.7142,0.0107
"51",50,0.284,0.7047,0.0113
"52",51,0.3085,0.6815,0.01
"53",52,0.3249,0.6659,0.0092
"54",53,0.3441,0.6475,0.0084
"55",54,0.3615,0.6302,0.0083
"56",55,0.3791,0.6127,0.0082
"57",56,0.4124,0.5787,0.0089
"58",57,0.4375,0.5534,0.0091
"59",58,0.459,0.5308,0.0102
"60",59,0.4739,0.5157,0.0104
"61",60,0.4974,0.4934,0.0092
"62",61,0.5163,0.4743,0.0094
"63",62,0.5383,0.452,0.0097
"64",63,0.5572,0.4334,0.0094
"65",64,0.5836,0.4068,0.0096
"66",65,0.5977,0.3915,0.0108
"67",66,0.6199,0.3691,0.011
"68",67,0.6354,0.3525,0.0121
"69",68,0.6513,0.3374,0.0113
"70",69,0.669,0.3193,0.0117
"71",70,0.6876,0.3001,0.0123
"72",71,0.7062,0.2816,0.0122
"73",72,0.7202,0.2666,0.0132
"74",73,0.7266,0.2597,0.0137
"75",74,0.7436,0.2418,0.0146
"76",75,0.7485,0.2359,0.0156
"77",76,0.7658,0.2179,0.0163
"78",77,0.7773,0.2052,0.0175
"79",78,0.7875,0.1932,0.0193
"80",79,0.7955,0.1852,0.0193
"81",80,0.8062,0.1715,0.0223
"82",81,0.8164,0.1629,0.0207
"83",82,0.8228,0.1561,0.0211
"84",83,0.8273,0.1498,0.0229
"85",84,0.839,0.135,0.026
"86",85,0.8466,0.1284,0.025
"87",86,0.8459,0.1269,0.0272
"88",87,0.8509,0.1201,0.029
"89",88,0.853,0.1169,0.0301
"90",89,0.8532,0.1148,0.032
"91",90,0.8595,0.1057,0.0348
"92",91,0.8618,0.0989,0.0393
"93",92,0.8609,0.1007,0.0384
"94",93,0.8595,0.0982,0.0423
"95",94,0.8591,0.0982,0.0427
"96",95,0.8607,0.0936,0.0457
"97",96,0.8659,0.0846,0.0495
"98",97,0.8683,0.0794,0.0523
"99",98,0.8674,0.0774,0.0552
"100",99,0.8682,0.0733,0.0585
"101",100,0.8705,0.0705,0.059
"102",101,0.8748,0.0663,0.0589
"103",102,0.8761,0.0674,0.0565
"104",103,0.8789,0.0627,0.0584
"105",104,0.8795,0.0606,0.0599
"106",105,0.8787,0.0611,0.0602
"107",106,0.8818,0.0591,0.0591
"108",107,0.8795,0.0583,0.0622
"109",108,0.8814,0.0547,0.0639
"110",109,0.8826,0.0522,0.0652
"111",110,0.8821,0.0534,0.0645
"112",111,0.8833,0.0505,0.0662
"113",112,0.8839,0.0465,0.0696
"114",113,0.8818,0.0453,0.0729
"115",114,0.8804,0.0421,0.0775
"116",115,0.8738,0.0423,0.0839
"117",116,0.8716,0.0429,0.0855
"118",117,0.871,0.0402,0.0888
"119",118,0.8637,0.041,0.0953
"120",119,0.8545,0.0425,0.103
"121",120,0.8486,0.0442,0.1072
"122",121,0.8425,0.0455,0.112
"123",122,0.8409,0.043,0.1161
"124",123,0.8346,0.042,0.1234
"125",124,0.8326,0.0401,0.1273
"126",125,0.8354,0.0395,0.1251
"127",126,0.8357,0.0362,0.1281
"128",127,0.8288,0.0404,0.1308
"129",128,0.8231,0.0389,0.138
"130",129,0.8226,0.0377,0.1397
"131",130,0.8215,0.0394,0.1391
"132",131,0.8155,0.0398,0.1447
"133",132,0.805,0.0387,0.1563
"134",133,0.8029,0.0399,0.1572
"135",134,0.8003,0.0429,0.1568
"136",135,0.7975,0.0419,0.1606
"137",136,0.795,0.0411,0.1639
"138",137,0.7913,0.0405,0.1682
"139",138,0.7931,0.0389,0.168
"140",139,0.7935,0.0415,0.165
"141",140,0.7875,0.0413,0.1712
"142",141,0.7829,0.0457,0.1714
"143",142,0.7766,0.0475,0.1759
"144",143,0.7708,0.0473,0.1819
"145",144,0.764,0.0443,0.1917
"146",145,0.7581,0.0463,0.1956
"147",146,0.7549,0.0506,0.1945
"148",147,0.7511,0.0519,0.197
"149",148,0.7499,0.0528,0.1973
"150",149,0.7417,0.0546,0.2037
"151",150,0.7379,0.054,0.2081
"152",151,0.732,0.0533,0.2147
"153",152,0.7252,0.0541,0.2207
"154",153,0.7181,0.0547,0.2272
"155",154,0.7111,0.0548,0.2341
"156",155,0.6992,0.0562,0.2446
"157",156,0.6865,0.0563,0.2572
"158",157,0.6769,0.0581,0.265
"159",158,0.6685,0.0595,0.272
"160",159,0.6575,0.0612,0.2813
"161",160,0.6452,0.0639,0.2909
"162",161,0.6365,0.0646,0.2989
"163",162,0.6295,0.0657,0.3048
"164",163,0.614,0.0699,0.3161
"165",164,0.5983,0.0769,0.3248
"166",165,0.5928,0.0778,0.3294
"167",166,0.5783,0.0771,0.3446
"168",167,0.5699,0.0778,0.3523
"169",168,0.5597,0.0837,0.3566
"170",169,0.5503,0.0909,0.3588
"171",170,0.5453,0.0961,0.3586
"172",171,0.5359,0.0982,0.3659
"173",172,0.5244,0.0994,0.3762
"174",173,0.5127,0.1043,0.383
"175",174,0.508,0.109,0.383
"176",175,0.4983,0.1153,0.3864
"177",176,0.487,0.1207,0.3923
"178",177,0.4783,0.123,0.3987
"179",178,0.4728,0.1288,0.3984
"180",179,0.4618,0.1329,0.4053
"181",180,0.4559,0.1391,0.405
"182",181,0.444,0.1446,0.4114
"183",182,0.4396,0.1501,0.4103
"184",183,0.4342,0.1537,0.4121
"185",184,0.4253,0.1612,0.4135
"186",185,0.4161,0.1669,0.417
"187",186,0.4103,0.1735,0.4162
"188",187,0.4045,0.1773,0.4182
"189",188,0.3987,0.1837,0.4176
"190",189,0.3885,0.1933,0.4182
"191",190,0.3797,0.1974,0.4229
"192",191,0.3723,0.1988,0.4289
"193",192,0.3654,0.2042,0.4304
"194",193,0.3602,0.2085,0.4313
"195",194,0.352,0.2096,0.4384
"196",195,0.3419,0.2208,0.4373
"197",196,0.3371,0.228,0.4349
"198",197,0.3289,0.2311,0.44
"199",198,0.3163,0.2375,0.4462
"200",199,0.3104,0.2442,0.4454
"201",200,0.3011,0.2562,0.4427
