"","Generation","O","Y","B"
"1",0,0.3329,0.3369,0.3302
"2",1,0.3165,0.3468,0.3367
"3",2,0.292,0.3552,0.3528
"4",3,0.2774,0.3573,0.3653
"5",4,0.2545,0.3721,0.3734
"6",5,0.236,0.3775,0.3865
"7",6,0.2214,0.391,0.3876
"8",7,0.2025,0.4057,0.3918
"9",8,0.1817,0.4333,0.385
"10",9,0.1723,0.4582,0.3695
"11",10,0.1568,0.4815,0.3617
"12",11,0.1403,0.4973,0.3624
"13",12,0.1311,0.5154,0.3535
"14",13,0.1181,0.5367,0.3452
"15",14,0.1069,0.5677,0.3254
"16",15,0.0988,0.5893,0.3119
"17",16,0.0908,0.6135,0.2957
"18",17,0.0795,0.641,0.2795
"19",18,0.0704,0.6795,0.2501
"20",19,0.0671,0.7028,0.2301
"21",20,0.0657,0.7211,0.2132
"22",21,0.0651,0.7327,0.2022
"23",22,0.0588,0.7573,0.1839
"24",23,0.0563,0.7772,0.1665
"25",24,0.0526,0.8003,0.1471
"26",25,0.0469,0.8222,0.1309
"27",26,0.0472,0.8366,0.1162
"28",27,0.0479,0.8498,0.1023
"29",28,0.0507,0.8619,0.0874
"30",29,0.0499,0.8691,0.081
"31",30,0.0575,0.8743,0.0682
"32",31,0.0586,0.8839,0.0575
"33",32,0.0633,0.889,0.0477
"34",33,0.0661,0.8938,0.0401
"35",34,0.0713,0.8941,0.0346
"36",35,0.0732,0.8946,0.0322
"37",36,0.0776,0.8925,0.0299
"38",37,0.0803,0.8908,0.0289
"39",38,0.0884,0.8871,0.0245
"40",39,0.0988,0.878,0.0232
"41",40,0.1018,0.8765,0.0217
"42",41,0.1078,0.8722,0.02
"43",42,0.1147,0.8695,0.0158
"44",43,0.1279,0.858,0.0141
"45",44,0.1366,0.8511,0.0123
"46",45,0.1516,0.8377,0.0107
"47",46,0.1629,0.8281,0.009
"48",47,0.1732,0.8187,0.0081
"49",48,0.1929,0.801,0.0061
"50",49,0.2042,0.7897,0.0061
"51",50,0.2168,0.777,0.0062
"52",51,0.2422,0.7522,0.0056
"53",52,0.2625,0.732,0.0055
"54",53,0.2823,0.7124,0.0053
"55",54,0.3035,0.6926,0.0039
"56",55,0.3261,0.6701,0.0038
"57",56,0.3435,0.6532,0.0033
"58",57,0.3596,0.6379,0.0025
"59",58,0.3818,0.6164,0.0018
"60",59,0.4016,0.5975,9e-04
"61",60,0.422,0.5772,8e-04
"62",61,0.4413,0.5578,9e-04
"63",62,0.4704,0.5291,5e-04
"64",63,0.4889,0.5108,3e-04
"65",64,0.5158,0.4838,4e-04
"66",65,0.5429,0.4567,4e-04
"67",66,0.5704,0.4293,3e-04
"68",67,0.5921,0.4075,4e-04
"69",68,0.6142,0.3855,3e-04
"70",69,0.6346,0.3648,6e-04
"71",70,0.6522,0.3471,7e-04
"72",71,0.6719,0.3274,7e-04
"73",72,0.6903,0.3095,2e-04
"74",73,0.7087,0.2912,1e-04
"75",74,0.7199,0.2801,0
"76",75,0.7242,0.2758,0
"77",76,0.741,0.259,0
"78",77,0.7562,0.2438,0
"79",78,0.7711,0.2289,0
"80",79,0.7864,0.2136,0
"81",80,0.801,0.199,0
"82",81,0.8184,0.1816,0
"83",82,0.8286,0.1714,0
"84",83,0.8394,0.1606,0
"85",84,0.8585,0.1415,0
"86",85,0.8738,0.1262,0
"87",86,0.8858,0.1142,0
"88",87,0.8917,0.1083,0
"89",88,0.9016,0.0984,0
"90",89,0.9105,0.0895,0
"91",90,0.9167,0.0833,0
"92",91,0.9214,0.0786,0
"93",92,0.9271,0.0729,0
"94",93,0.9364,0.0636,0
"95",94,0.9427,0.0573,0
"96",95,0.9466,0.0534,0
"97",96,0.9529,0.0471,0
"98",97,0.9563,0.0437,0
"99",98,0.9583,0.0417,0
"100",99,0.9636,0.0364,0
"101",100,0.9643,0.0357,0
"102",101,0.9686,0.0314,0
"103",102,0.971,0.029,0
"104",103,0.9699,0.0301,0
"105",104,0.9728,0.0272,0
"106",105,0.9759,0.0241,0
"107",106,0.9752,0.0248,0
"108",107,0.9769,0.0231,0
"109",108,0.9808,0.0192,0
"110",109,0.9827,0.0173,0
"111",110,0.9867,0.0133,0
"112",111,0.9884,0.0116,0
"113",112,0.9904,0.0096,0
"114",113,0.992,0.008,0
"115",114,0.993,0.007,0
"116",115,0.9935,0.0065,0
"117",116,0.9938,0.0062,0
"118",117,0.9939,0.0061,0
"119",118,0.9948,0.0052,0
"120",119,0.9954,0.0046,0
"121",120,0.996,0.004,0
"122",121,0.9968,0.0032,0
"123",122,0.9972,0.0028,0
"124",123,0.997,0.003,0
"125",124,0.997,0.003,0
"126",125,0.9979,0.0021,0
"127",126,0.9985,0.0015,0
"128",127,0.9986,0.0014,0
"129",128,0.9987,0.0013,0
"130",129,0.9992,8e-04,0
"131",130,0.9993,7e-04,0
"132",131,0.9997,3e-04,0
"133",132,0.9998,2e-04,0
"134",133,0.9998,2e-04,0
"135",134,0.9998,2e-04,0
"136",135,0.9999,1e-04,0
"137",136,0.9999,1e-04,0
"138",137,0.9999,1e-04,0
"139",138,0.9999,1e-04,0
"140",139,0.9999,1e-04,0
"141",140,0.9999,1e-04,0
"142",141,0.9999,1e-04,0
"143",142,0.9999,1e-04,0
"144",143,0.9998,2e-04,0
"145",144,1,0,0
"146",145,1,0,0
"147",146,1,0,0
"148",147,1,0,0
"149",148,1,0,0
"150",149,1,0,0
"151",150,1,0,0
"152",151,1,0,0
"153",152,1,0,0
"154",153,1,0,0
"155",154,1,0,0
"156",155,1,0,0
"157",156,1,0,0
"158",157,1,0,0
"159",158,1,0,0
"160",159,1,0,0
"161",160,1,0,0
"162",161,1,0,0
"163",162,1,0,0
"164",163,1,0,0
"165",164,1,0,0
"166",165,1,0,0
"167",166,1,0,0
"168",167,1,0,0
"169",168,1,0,0
"170",169,1,0,0
"171",170,1,0,0
"172",171,1,0,0
"173",172,1,0,0
"174",173,1,0,0
"175",174,1,0,0
"176",175,1,0,0
"177",176,1,0,0
"178",177,1,0,0
"179",178,1,0,0
"180",179,1,0,0
"181",180,1,0,0
"182",181,1,0,0
"183",182,1,0,0
"184",183,1,0,0
"185",184,1,0,0
"186",185,1,0,0
"187",186,1,0,0
"188",187,1,0,0
"189",188,1,0,0
"190",189,1,0,0
"191",190,1,0,0
"192",191,1,0,0
"193",192,1,0,0
"194",193,1,0,0
"195",194,1,0,0
"196",195,1,0,0
"197",196,1,0,0
"198",197,1,0,0
"199",198,1,0,0
"200",199,1,0,0
"201",200,1,0,0
