"","sim","Generation","strategy","freq","prob","freq_0_O","freq_0_Y","freq_0_B","neighbors","devide"
"1","1",0,"O",0.3306,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"2","1",0,"Y",0.3345,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"3","1",0,"B",0.3349,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"4","1",1,"O",0.3417,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"5","1",1,"Y",0.3183,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"6","1",1,"B",0.34,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"7","1",2,"O",0.3513,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"8","1",2,"Y",0.3086,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"9","1",2,"B",0.3401,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"10","1",3,"O",0.3654,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"11","1",3,"Y",0.3141,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"12","1",3,"B",0.3205,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"13","1",4,"O",0.3627,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"14","1",4,"Y",0.3259,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"15","1",4,"B",0.3114,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"16","1",5,"O",0.3493,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"17","1",5,"Y",0.3377,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"18","1",5,"B",0.313,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"19","1",6,"O",0.3349,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"20","1",6,"Y",0.3526,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"21","1",6,"B",0.3125,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"22","1",7,"O",0.333,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"23","1",7,"Y",0.3587,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"24","1",7,"B",0.3083,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"25","1",8,"O",0.3345,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"26","1",8,"Y",0.3538,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"27","1",8,"B",0.3117,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"28","1",9,"O",0.3278,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"29","1",9,"Y",0.3472,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"30","1",9,"B",0.325,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"31","1",10,"O",0.334,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"32","1",10,"Y",0.3361,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"33","1",10,"B",0.3299,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"34","1",11,"O",0.3334,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"35","1",11,"Y",0.3277,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"36","1",11,"B",0.3389,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"37","1",12,"O",0.3422,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"38","1",12,"Y",0.3188,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"39","1",12,"B",0.339,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"40","1",13,"O",0.3438,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"41","1",13,"Y",0.3185,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"42","1",13,"B",0.3377,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"43","1",14,"O",0.3497,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"44","1",14,"Y",0.3296,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"45","1",14,"B",0.3207,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"46","1",15,"O",0.3457,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"47","1",15,"Y",0.3405,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"48","1",15,"B",0.3138,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
"49","1",16,"O",0.3428,0.25,0.333333333333333,0.333333333333333,0.333333333333333,"homogenous","FALSE"
