"","Generation","O","Y","B"
"1",0,0.3364,0.3295,0.3341
"2",1,0.3312,0.3319,0.3369
"3",2,0.3238,0.3336,0.3426
"4",3,0.302,0.3407,0.3573
"5",4,0.2807,0.3444,0.3749
"6",5,0.2625,0.3482,0.3893
"7",6,0.2483,0.3613,0.3904
"8",7,0.2284,0.373,0.3986
"9",8,0.2103,0.392,0.3977
"10",9,0.1926,0.4122,0.3952
"11",10,0.1746,0.4349,0.3905
"12",11,0.1629,0.4601,0.377
"13",12,0.1491,0.4857,0.3652
"14",13,0.1302,0.5119,0.3579
"15",14,0.1165,0.5369,0.3466
"16",15,0.1061,0.5687,0.3252
"17",16,0.0976,0.5868,0.3156
"18",17,0.0884,0.6122,0.2994
"19",18,0.081,0.643,0.276
"20",19,0.0734,0.6742,0.2524
"21",20,0.0687,0.7006,0.2307
"22",21,0.0667,0.7274,0.2059
"23",22,0.0616,0.7515,0.1869
"24",23,0.0616,0.7698,0.1686
"25",24,0.0609,0.7831,0.156
"26",25,0.0612,0.799,0.1398
"27",26,0.0598,0.8157,0.1245
"28",27,0.0584,0.8267,0.1149
"29",28,0.0559,0.84,0.1041
"30",29,0.0574,0.8501,0.0925
"31",30,0.0603,0.8582,0.0815
"32",31,0.066,0.8623,0.0717
"33",32,0.0684,0.8697,0.0619
"34",33,0.0762,0.8719,0.0519
"35",34,0.086,0.8667,0.0473
"36",35,0.0874,0.8684,0.0442
"37",36,0.0947,0.8657,0.0396
"38",37,0.1024,0.8637,0.0339
"39",38,0.1135,0.8566,0.0299
"40",39,0.1292,0.8434,0.0274
"41",40,0.1371,0.8388,0.0241
"42",41,0.1433,0.8362,0.0205
"43",42,0.1525,0.8281,0.0194
"44",43,0.1688,0.8139,0.0173
"45",44,0.1868,0.7948,0.0184
"46",45,0.2068,0.7755,0.0177
"47",46,0.2229,0.7585,0.0186
"48",47,0.2395,0.7418,0.0187
"49",48,0.2582,0.7225,0.0193
"50",49,0.2774,0.7019,0.0207
"51",50,0.2909,0.6879,0.0212
"52",51,0.3144,0.6646,0.021
"53",52,0.3373,0.643,0.0197
"54",53,0.3533,0.627,0.0197
"55",54,0.3705,0.6118,0.0177
"56",55,0.3868,0.5944,0.0188
"57",56,0.4034,0.5759,0.0207
"58",57,0.4155,0.5644,0.0201
"59",58,0.4348,0.546,0.0192
"60",59,0.4533,0.5279,0.0188
"61",60,0.4681,0.5135,0.0184
"62",61,0.4808,0.4995,0.0197
"63",62,0.4912,0.4899,0.0189
"64",63,0.5082,0.4729,0.0189
"65",64,0.5227,0.4589,0.0184
"66",65,0.5366,0.4429,0.0205
"67",66,0.5555,0.4219,0.0226
"68",67,0.5686,0.4091,0.0223
"69",68,0.5888,0.3892,0.022
"70",69,0.6056,0.3712,0.0232
"71",70,0.6142,0.3615,0.0243
"72",71,0.6314,0.3437,0.0249
"73",72,0.6523,0.3216,0.0261
"74",73,0.6633,0.3076,0.0291
"75",74,0.6667,0.3037,0.0296
"76",75,0.679,0.2919,0.0291
"77",76,0.6909,0.2768,0.0323
"78",77,0.7057,0.2636,0.0307
"79",78,0.7075,0.2605,0.032
"80",79,0.714,0.2525,0.0335
"81",80,0.7175,0.2465,0.036
"82",81,0.7153,0.2469,0.0378
"83",82,0.7204,0.2405,0.0391
"84",83,0.7195,0.2395,0.041
