"","Generation","O","Y","B"
"1",0,0.3402,0.3316,0.3282
"2",1,0.3309,0.3316,0.3375
"3",2,0.3172,0.3468,0.336
"4",3,0.2986,0.3582,0.3432
"5",4,0.276,0.3754,0.3486
"6",5,0.2589,0.3854,0.3557
"7",6,0.2401,0.3975,0.3624
"8",7,0.2222,0.4102,0.3676
"9",8,0.2039,0.4302,0.3659
"10",9,0.1949,0.438,0.3671
"11",10,0.1746,0.4649,0.3605
"12",11,0.1611,0.4807,0.3582
"13",12,0.1488,0.5048,0.3464
"14",13,0.139,0.5238,0.3372
"15",14,0.1305,0.5419,0.3276
"16",15,0.1228,0.5618,0.3154
"17",16,0.1088,0.5829,0.3083
"18",17,0.1015,0.6071,0.2914
"19",18,0.093,0.6324,0.2746
"20",19,0.085,0.6584,0.2566
"21",20,0.0783,0.6813,0.2404
"22",21,0.072,0.7086,0.2194
"23",22,0.071,0.7212,0.2078
"24",23,0.0723,0.7395,0.1882
"25",24,0.0692,0.7604,0.1704
"26",25,0.0703,0.7753,0.1544
"27",26,0.0716,0.785,0.1434
"28",27,0.0699,0.8041,0.126
"29",28,0.0694,0.8155,0.1151
"30",29,0.0762,0.8233,0.1005
"31",30,0.0781,0.833,0.0889
"32",31,0.0773,0.8401,0.0826
"33",32,0.0769,0.8471,0.076
"34",33,0.0841,0.8501,0.0658
"35",34,0.0853,0.8513,0.0634
"36",35,0.0901,0.8545,0.0554
"37",36,0.0908,0.8593,0.0499
"38",37,0.0931,0.8633,0.0436
"39",38,0.0989,0.8618,0.0393
"40",39,0.1018,0.8602,0.038
"41",40,0.1116,0.8548,0.0336
"42",41,0.1149,0.8521,0.033
"43",42,0.1203,0.8504,0.0293
"44",43,0.1314,0.842,0.0266
"45",44,0.1399,0.8356,0.0245
"46",45,0.1517,0.8249,0.0234
"47",46,0.1599,0.8164,0.0237
"48",47,0.1707,0.8056,0.0237
"49",48,0.1859,0.792,0.0221
"50",49,0.1971,0.7832,0.0197
"51",50,0.2141,0.7702,0.0157
"52",51,0.2213,0.7644,0.0143
"53",52,0.2399,0.7457,0.0144
"54",53,0.261,0.726,0.013
"55",54,0.2728,0.7135,0.0137
"56",55,0.2931,0.6956,0.0113
"57",56,0.3075,0.6822,0.0103
"58",57,0.3316,0.6585,0.0099
"59",58,0.3486,0.6405,0.0109
"60",59,0.3719,0.6169,0.0112
"61",60,0.3962,0.5932,0.0106
"62",61,0.4135,0.5743,0.0122
"63",62,0.4348,0.5534,0.0118
"64",63,0.4549,0.5345,0.0106
"65",64,0.4808,0.5096,0.0096
"66",65,0.4949,0.4953,0.0098
"67",66,0.5128,0.4778,0.0094
"68",67,0.5342,0.4568,0.009
"69",68,0.55,0.4403,0.0097
"70",69,0.5758,0.414,0.0102
"71",70,0.6014,0.3888,0.0098
"72",71,0.6191,0.3709,0.01
"73",72,0.6361,0.3532,0.0107
"74",73,0.6531,0.3363,0.0106
"75",74,0.6681,0.3226,0.0093
"76",75,0.684,0.3064,0.0096
"77",76,0.6985,0.2917,0.0098
"78",77,0.7092,0.2798,0.011
"79",78,0.7257,0.2625,0.0118
"80",79,0.7403,0.2478,0.0119
"81",80,0.7484,0.2402,0.0114
"82",81,0.7633,0.2257,0.011
"83",82,0.7751,0.2135,0.0114
"84",83,0.7877,0.1997,0.0126
"85",84,0.7988,0.1885,0.0127
"86",85,0.8075,0.1787,0.0138
"87",86,0.8191,0.1661,0.0148
"88",87,0.8217,0.1611,0.0172
"89",88,0.831,0.1508,0.0182
"90",89,0.8333,0.1463,0.0204
"91",90,0.8389,0.1376,0.0235
"92",91,0.8457,0.1297,0.0246
"93",92,0.8613,0.1138,0.0249
"94",93,0.8621,0.1105,0.0274
"95",94,0.869,0.1024,0.0286
"96",95,0.8724,0.0975,0.0301
"97",96,0.8767,0.0932,0.0301
"98",97,0.8765,0.0913,0.0322
"99",98,0.879,0.0865,0.0345
"100",99,0.8803,0.0852,0.0345
"101",100,0.8818,0.0809,0.0373
